 ID, Campaign ID, Audience ID, Clicks, Conversions, Metrics Date
1720707878,1017841391,631797859,2000.0,200.0,2024-01-01 00:00:00 UTC
1518056214,1430930351,1323046246,1800.0,162.0,2024-01-01 00:00:00 UTC
1038293212,104647731,1659676686,1500.0,112.0,2024-01-01 00:00:00 UTC
675690796,249371086,1584409659,700.0,24.0,2024-01-01 00:00:00 UTC
1027942431,391290753,1126979805,500.0,12.0,2024-01-01 00:00:00 UTC
748293053,1017841391,631797859,2488.0,309.0,2024-01-02 00:00:00 UTC
64035672,1430930351,1323046246,2239.0,250.0,2024-01-02 00:00:00 UTC
1928394647,104647731,1659676686,1866.0,174.0,2024-01-02 00:00:00 UTC
1973625971,249371086,1584409659,869.0,37.0,2024-01-02 00:00:00 UTC
1084008455,391290753,1126979805,621.0,19.0,2024-01-02 00:00:00 UTC
394891367,1017841391,631797859,2624.0,344.0,2024-01-03 00:00:00 UTC
517071855,1430930351,1323046246,2362.0,278.0,2024-01-03 00:00:00 UTC
700800085,104647731,1659676686,1968.0,193.0,2024-01-03 00:00:00 UTC
1920682616,249371086,1584409659,915.0,41.0,2024-01-03 00:00:00 UTC
875517109,391290753,1126979805,654.0,21.0,2024-01-03 00:00:00 UTC
2110313903,1017841391,631797859,2318.0,268.0,2024-01-04 00:00:00 UTC
638827324,1430930351,1323046246,2086.0,217.0,2024-01-04 00:00:00 UTC
722020136,104647731,1659676686,1739.0,151.0,2024-01-04 00:00:00 UTC
1375137759,249371086,1584409659,807.0,32.0,2024-01-04 00:00:00 UTC
1192625335,391290753,1126979805,577.0,16.0,2024-01-04 00:00:00 UTC
2067226816,1017841391,631797859,1815.0,164.0,2024-01-05 00:00:00 UTC
1250666106,1430930351,1323046246,1634.0,133.0,2024-01-05 00:00:00 UTC
433593313,104647731,1659676686,1361.0,92.0,2024-01-05 00:00:00 UTC
251120355,249371086,1584409659,631.0,19.0,2024-01-05 00:00:00 UTC
613262104,391290753,1126979805,451.0,10.0,2024-01-05 00:00:00 UTC
1031439849,1017841391,631797859,1508.0,113.0,2024-01-06 00:00:00 UTC
46944358,1430930351,1323046246,1357.0,92.0,2024-01-06 00:00:00 UTC
1742563274,104647731,1659676686,1131.0,64.0,2024-01-06 00:00:00 UTC
1805795210,249371086,1584409659,524.0,13.0,2024-01-06 00:00:00 UTC
356720483,391290753,1126979805,374.0,7.0,2024-01-06 00:00:00 UTC
199604885,1017841391,631797859,1643.0,135.0,2024-01-07 00:00:00 UTC
1317014135,1430930351,1323046246,1479.0,109.0,2024-01-07 00:00:00 UTC
848693055,104647731,1659676686,1232.0,75.0,2024-01-07 00:00:00 UTC
665792255,249371086,1584409659,570.0,16.0,2024-01-07 00:00:00 UTC
1982051107,391290753,1126979805,407.0,8.0,2024-01-07 00:00:00 UTC
1625868614,1017841391,631797859,2135.0,227.0,2024-01-08 00:00:00 UTC
691512736,1430930351,1323046246,1921.0,184.0,2024-01-08 00:00:00 UTC
663755279,104647731,1659676686,1601.0,128.0,2024-01-08 00:00:00 UTC
1644067498,249371086,1584409659,739.0,27.0,2024-01-08 00:00:00 UTC
798633669,391290753,1126979805,528.0,13.0,2024-01-08 00:00:00 UTC
499333136,1017841391,631797859,2627.0,345.0,2024-01-09 00:00:00 UTC
1883676228,1430930351,1323046246,2364.0,279.0,2024-01-09 00:00:00 UTC
1143621290,104647731,1659676686,1970.0,194.0,2024-01-09 00:00:00 UTC
802227703,249371086,1584409659,908.0,41.0,2024-01-09 00:00:00 UTC
1999121651,391290753,1126979805,648.0,21.0,2024-01-09 00:00:00 UTC
665611777,1017841391,631797859,2763.0,381.0,2024-01-10 00:00:00 UTC
1407914996,1430930351,1323046246,2487.0,309.0,2024-01-10 00:00:00 UTC
1325674461,104647731,1659676686,2072.0,214.0,2024-01-10 00:00:00 UTC
1997767871,249371086,1584409659,954.0,45.0,2024-01-10 00:00:00 UTC
1462666534,391290753,1126979805,681.0,23.0,2024-01-10 00:00:00 UTC
608636905,1017841391,631797859,2455.0,301.0,2024-01-11 00:00:00 UTC
1083227937,1430930351,1323046246,2210.0,244.0,2024-01-11 00:00:00 UTC
460215839,104647731,1659676686,1841.0,169.0,2024-01-11 00:00:00 UTC
2077993035,249371086,1584409659,846.0,35.0,2024-01-11 00:00:00 UTC
515983996,391290753,1126979805,604.0,18.0,2024-01-11 00:00:00 UTC
938037679,1017841391,631797859,1949.0,189.0,2024-01-12 00:00:00 UTC
254490311,1430930351,1323046246,1754.0,153.0,2024-01-12 00:00:00 UTC
757824558,104647731,1659676686,1461.0,106.0,2024-01-12 00:00:00 UTC
507116255,249371086,1584409659,671.0,22.0,2024-01-12 00:00:00 UTC
1270506736,391290753,1126979805,479.0,11.0,2024-01-12 00:00:00 UTC
639482350,1017841391,631797859,1639.0,134.0,2024-01-13 00:00:00 UTC
2103962201,1430930351,1323046246,1475.0,108.0,2024-01-13 00:00:00 UTC
416522512,104647731,1659676686,1229.0,75.0,2024-01-13 00:00:00 UTC
688723309,249371086,1584409659,563.0,15.0,2024-01-13 00:00:00 UTC
1371159779,391290753,1126979805,402.0,8.0,2024-01-13 00:00:00 UTC
803005411,1017841391,631797859,1775.0,157.0,2024-01-14 00:00:00 UTC
300540163,1430930351,1323046246,1598.0,127.0,2024-01-14 00:00:00 UTC
1478998203,104647731,1659676686,1331.0,88.0,2024-01-14 00:00:00 UTC
1614730376,249371086,1584409659,609.0,18.0,2024-01-14 00:00:00 UTC
52764711,391290753,1126979805,435.0,9.0,2024-01-14 00:00:00 UTC
1749420328,1017841391,631797859,2270.0,257.0,2024-01-15 00:00:00 UTC
2123811506,1430930351,1323046246,2043.0,208.0,2024-01-15 00:00:00 UTC
1913122952,104647731,1659676686,1702.0,144.0,2024-01-15 00:00:00 UTC
815477056,249371086,1584409659,778.0,30.0,2024-01-15 00:00:00 UTC
653756661,391290753,1126979805,555.0,15.0,2024-01-15 00:00:00 UTC
710601766,1017841391,631797859,2765.0,382.0,2024-01-16 00:00:00 UTC
1676187001,1430930351,1323046246,2488.0,309.0,2024-01-16 00:00:00 UTC
1211837268,104647731,1659676686,2073.0,215.0,2024-01-16 00:00:00 UTC
402745998,249371086,1584409659,946.0,44.0,2024-01-16 00:00:00 UTC
1303324900,391290753,1126979805,676.0,22.0,2024-01-16 00:00:00 UTC
2106687456,1017841391,631797859,2902.0,421.0,2024-01-17 00:00:00 UTC
435310597,1430930351,1323046246,2612.0,341.0,2024-01-17 00:00:00 UTC
879093011,104647731,1659676686,2176.0,236.0,2024-01-17 00:00:00 UTC
229695781,249371086,1584409659,991.0,49.0,2024-01-17 00:00:00 UTC
2007559289,391290753,1126979805,708.0,25.0,2024-01-17 00:00:00 UTC
1546386564,1017841391,631797859,2592.0,335.0,2024-01-18 00:00:00 UTC
1281256296,1430930351,1323046246,2332.0,272.0,2024-01-18 00:00:00 UTC
1406347230,104647731,1659676686,1944.0,188.0,2024-01-18 00:00:00 UTC
424335145,249371086,1584409659,884.0,39.0,2024-01-18 00:00:00 UTC
662183663,391290753,1126979805,631.0,19.0,2024-01-18 00:00:00 UTC
724524244,1017841391,631797859,2081.0,216.0,2024-01-19 00:00:00 UTC
1136485916,1430930351,1323046246,1873.0,175.0,2024-01-19 00:00:00 UTC
868132382,104647731,1659676686,1561.0,121.0,2024-01-19 00:00:00 UTC
1492003018,249371086,1584409659,709.0,25.0,2024-01-19 00:00:00 UTC
1236673477,391290753,1126979805,506.0,12.0,2024-01-19 00:00:00 UTC
1386475687,1017841391,631797859,1769.0,156.0,2024-01-20 00:00:00 UTC
2014000117,1430930351,1323046246,1592.0,126.0,2024-01-20 00:00:00 UTC
867857562,104647731,1659676686,1326.0,88.0,2024-01-20 00:00:00 UTC
1300630359,249371086,1584409659,601.0,18.0,2024-01-20 00:00:00 UTC
1561542867,391290753,1126979805,429.0,9.0,2024-01-20 00:00:00 UTC
1654196837,1017841391,631797859,1905.0,181.0,2024-01-21 00:00:00 UTC
1084315959,1430930351,1323046246,1715.0,147.0,2024-01-21 00:00:00 UTC
1375361968,104647731,1659676686,1429.0,102.0,2024-01-21 00:00:00 UTC
215719912,249371086,1584409659,647.0,20.0,2024-01-21 00:00:00 UTC
1978195886,391290753,1126979805,462.0,10.0,2024-01-21 00:00:00 UTC
1503510023,1017841391,631797859,2403.0,288.0,2024-01-22 00:00:00 UTC
998032472,1430930351,1323046246,2162.0,233.0,2024-01-22 00:00:00 UTC
88656206,104647731,1659676686,1802.0,162.0,2024-01-22 00:00:00 UTC
2015641539,249371086,1584409659,815.0,33.0,2024-01-22 00:00:00 UTC
1346189723,391290753,1126979805,582.0,16.0,2024-01-22 00:00:00 UTC
151009118,1017841391,631797859,2901.0,420.0,2024-01-23 00:00:00 UTC
209557783,1430930351,1323046246,2611.0,340.0,2024-01-23 00:00:00 UTC
213970294,104647731,1659676686,2175.0,236.0,2024-01-23 00:00:00 UTC
1411820100,249371086,1584409659,982.0,48.0,2024-01-23 00:00:00 UTC
1790761987,391290753,1126979805,701.0,24.0,2024-01-23 00:00:00 UTC
1104159423,1017841391,631797859,3038.0,461.0,2024-01-24 00:00:00 UTC
1517283302,1430930351,1323046246,2735.0,374.0,2024-01-24 00:00:00 UTC
1058988031,104647731,1659676686,2279.0,259.0,2024-01-24 00:00:00 UTC
1034635532,249371086,1584409659,1027.0,52.0,2024-01-24 00:00:00 UTC
1551113509,391290753,1126979805,734.0,26.0,2024-01-24 00:00:00 UTC
729799236,1017841391,631797859,2725.0,371.0,2024-01-25 00:00:00 UTC
1899965652,1430930351,1323046246,2453.0,300.0,2024-01-25 00:00:00 UTC
1589683149,104647731,1659676686,2044.0,208.0,2024-01-25 00:00:00 UTC
70833018,249371086,1584409659,920.0,42.0,2024-01-25 00:00:00 UTC
1741811198,391290753,1126979805,657.0,21.0,2024-01-25 00:00:00 UTC
1976447822,1017841391,631797859,2210.0,244.0,2024-01-26 00:00:00 UTC
292946091,1430930351,1323046246,1989.0,197.0,2024-01-26 00:00:00 UTC
1563413085,104647731,1659676686,1658.0,137.0,2024-01-26 00:00:00 UTC
1116317200,249371086,1584409659,745.0,27.0,2024-01-26 00:00:00 UTC
664353082,391290753,1126979805,532.0,14.0,2024-01-26 00:00:00 UTC
615288631,1017841391,631797859,1895.0,179.0,2024-01-27 00:00:00 UTC
1264782919,1430930351,1323046246,1706.0,145.0,2024-01-27 00:00:00 UTC
383479055,104647731,1659676686,1421.0,101.0,2024-01-27 00:00:00 UTC
1839714976,249371086,1584409659,638.0,20.0,2024-01-27 00:00:00 UTC
1541124591,391290753,1126979805,455.0,10.0,2024-01-27 00:00:00 UTC
769874532,1017841391,631797859,2032.0,206.0,2024-01-28 00:00:00 UTC
1177752216,1430930351,1323046246,1829.0,167.0,2024-01-28 00:00:00 UTC
989889626,104647731,1659676686,1524.0,116.0,2024-01-28 00:00:00 UTC
1900278353,249371086,1584409659,683.0,23.0,2024-01-28 00:00:00 UTC
1089682459,391290753,1126979805,488.0,11.0,2024-01-28 00:00:00 UTC
304393553,1017841391,631797859,2532.0,320.0,2024-01-29 00:00:00 UTC
1725094933,1430930351,1323046246,2279.0,259.0,2024-01-29 00:00:00 UTC
1246242197,104647731,1659676686,1899.0,180.0,2024-01-29 00:00:00 UTC
518917637,249371086,1584409659,850.0,36.0,2024-01-29 00:00:00 UTC
579355151,391290753,1126979805,607.0,18.0,2024-01-29 00:00:00 UTC
1870932507,1017841391,631797859,3033.0,460.0,2024-01-30 00:00:00 UTC
1300468648,1430930351,1323046246,2729.0,372.0,2024-01-30 00:00:00 UTC
754714835,104647731,1659676686,2274.0,258.0,2024-01-30 00:00:00 UTC
1568160520,249371086,1584409659,1016.0,51.0,2024-01-30 00:00:00 UTC
1859872537,391290753,1126979805,726.0,26.0,2024-01-30 00:00:00 UTC
312741840,1017841391,631797859,3171.0,502.0,2024-01-31 00:00:00 UTC
929427210,1430930351,1323046246,2853.0,407.0,2024-01-31 00:00:00 UTC
1308873609,104647731,1659676686,2378.0,282.0,2024-01-31 00:00:00 UTC
