 ID, Division ID, Purchase Order ID, Type, Model, Capacity, Status, Purchase Date, Last Maintenance At, Next Maintenance At
1453388167,560843408,271852868,Passenger Car,P-4020,55.09118893889184,Retired,2020-07-29 19:27:55.670595 UTC,2024-11-29 04:01:40.670597 UTC,2025-04-02 06:34:56.670598 UTC
1291405995,560843408,1038264622,Freight Car,F-9850,96.11982354440192,Active,2021-12-17 23:21:25.670827 UTC,2025-01-21 20:13:35.670829 UTC,2025-04-13 11:21:30.67083 UTC
1212683159,560843408,1752277816,Locomotive,L-4166,4349.785386245726,Active,2021-03-27 18:21:03.670987 UTC,2024-12-15 07:22:20.670989 UTC,2025-04-21 18:13:37.67099 UTC
951811568,560843408,979595765,Passenger Car,P-2114,95.41124795383743,Active,2021-12-03 07:30:49.671122 UTC,2024-12-08 14:03:40.671124 UTC,2025-01-26 09:05:44.671125 UTC
2050671769,560843408,1352254896,Freight Car,F-4847,91.74120587127258,Active,2020-08-08 17:09:21.671266 UTC,2025-01-09 04:43:52.671268 UTC,2025-02-21 15:42:24.671269 UTC
177199962,560843408,271852868,Freight Car,F-2854,95.61272280671685,Active,2022-10-02 13:30:24.671427 UTC,2024-12-17 04:07:14.671429 UTC,2025-01-26 23:39:54.67143 UTC
1829674713,560843408,661429842,Freight Car,F-4592,84.84593949425016,Active,2022-11-06 07:33:43.671583 UTC,2024-11-03 02:40:29.671585 UTC,2025-04-14 23:48:17.671586 UTC
1986196634,560843408,293140461,Freight Car,F-4325,99.32954892660398,Active,2021-10-01 21:36:28.671739 UTC,2025-01-07 08:58:19.67174 UTC,2025-03-18 06:43:15.671742 UTC
1066244332,560843408,2083782179,Passenger Car,P-8717,68.24779282655399,Maintenance,2020-02-15 13:03:13.671878 UTC,2024-11-06 02:05:30.67188 UTC,2025-03-13 23:45:37.671882 UTC
1515573021,560843408,60350704,Passenger Car,P-2456,69.20850228251709,Maintenance,2020-11-04 11:36:26.672036 UTC,2025-01-10 10:27:46.672037 UTC,2025-04-15 18:31:17.672039 UTC
1181795696,560843408,2083782179,Passenger Car,P-7324,89.39250542298302,Active,2021-08-19 03:50:35.672208 UTC,2024-12-21 03:52:28.672214 UTC,2025-02-18 07:51:45.672215 UTC
