 Order ID, Channel, Order Date, Invoice ID
128268465,Marketplace,2024-02-12 00:00:00 UTC,970328076
1746428275,Marketplace,2024-07-24 00:00:00 UTC,241201436
233580046,Marketplace,2022-04-08 00:00:00 UTC,1752047513
677385760,Marketplace,2023-03-31 00:00:00 UTC,954455533
1613016918,Marketplace,2023-03-27 00:00:00 UTC,874353041
251363998,Web,2022-01-27 00:00:00 UTC,1806656335
516988573,Marketplace,2023-10-12 00:00:00 UTC,1079600442
923176956,Web,2023-08-21 00:00:00 UTC,1398729667
788295388,Web,2023-08-30 00:00:00 UTC,36595064
1353509378,Web,2023-10-20 00:00:00 UTC,1182600584
1932917165,Web,2022-04-02 00:00:00 UTC,1693268947
968037388,Web,2022-10-15 00:00:00 UTC,492279893
4511111,Web,2024-10-14 00:00:00 UTC,1249206684
1200264142,Web,2023-02-27 00:00:00 UTC,196055642
557230242,Marketplace,2021-06-08 00:00:00 UTC,260490334
669576628,Web,2024-08-15 00:00:00 UTC,1434039578
1128511450,Marketplace,2023-11-27 00:00:00 UTC,187634219
1343013017,Web,2020-07-03 00:00:00 UTC,265965549
1535907631,Web,2023-11-20 00:00:00 UTC,786170184
1805863644,Web,2024-01-27 00:00:00 UTC,1525227888
1126298275,Web,2022-02-10 00:00:00 UTC,33136707
2013670438,Web,2023-02-11 00:00:00 UTC,491646991
1308536963,Marketplace,2020-07-22 00:00:00 UTC,902242864
102425435,Marketplace,2020-07-26 00:00:00 UTC,679855466
559884820,Marketplace,2023-05-22 00:00:00 UTC,1611920821
931166346,Marketplace,2023-04-13 00:00:00 UTC,1899729005
2131295292,Web,2020-12-19 00:00:00 UTC,951520048
1124314122,Marketplace,2024-03-09 00:00:00 UTC,252881607
2145292570,Web,2022-09-24 00:00:00 UTC,576033766
1510747889,Marketplace,2022-08-13 00:00:00 UTC,1440036028
2023114435,Web,2024-09-07 00:00:00 UTC,1990280592
1254663003,Web,2024-10-15 00:00:00 UTC,797989192
1500073140,Web,2023-05-10 00:00:00 UTC,1819367275
1966429243,Web,2023-09-22 00:00:00 UTC,809119163
335724191,Web,2023-11-15 00:00:00 UTC,192607068
348520360,Marketplace,2021-11-25 00:00:00 UTC,1673205474
1621587965,Web,2023-03-10 00:00:00 UTC,254886257
1968444924,Web,2022-05-15 00:00:00 UTC,1310194756
303454694,Web,2020-03-31 00:00:00 UTC,2146728804
1910369590,Web,2022-09-17 00:00:00 UTC,409469691
1728523927,Marketplace,2021-11-13 00:00:00 UTC,359035603
1104865662,Web,2021-08-18 00:00:00 UTC,1371858412
272379284,Web,2022-09-02 00:00:00 UTC,1665548409
1862637096,Web,2021-10-12 00:00:00 UTC,1654510597
442002521,Web,2022-10-02 00:00:00 UTC,465157853
915196328,Web,2023-04-27 00:00:00 UTC,425211278
1661324844,Web,2022-08-04 00:00:00 UTC,878391693
912869987,Web,2023-03-22 00:00:00 UTC,568684116
1963393128,Marketplace,2023-03-26 00:00:00 UTC,1358509834
431802949,Marketplace,2024-06-06 00:00:00 UTC,1634499651
1954858472,Marketplace,2024-10-16 00:00:00 UTC,945563997
56366341,Marketplace,2023-12-21 00:00:00 UTC,1372928497
540059243,Web,2023-11-04 00:00:00 UTC,1703284590
747754740,Web,2021-03-07 00:00:00 UTC,1560090992
1520689893,Web,2022-04-01 00:00:00 UTC,1042100882
1398154858,Marketplace,2023-05-14 00:00:00 UTC,1225596244
827857846,Web,2024-08-31 00:00:00 UTC,504500090
1471648965,Web,2023-10-13 00:00:00 UTC,1939570314
1529849249,Web,2023-12-07 00:00:00 UTC,1600881718
2082590471,Web,2024-04-19 00:00:00 UTC,575793003
1556259528,Marketplace,2024-03-14 00:00:00 UTC,1959548429
564170159,Web,2021-02-11 00:00:00 UTC,1460070274
1464714940,Marketplace,2023-05-12 00:00:00 UTC,1890911314
140950711,Marketplace,2023-09-01 00:00:00 UTC,1811559103
768619249,Marketplace,2024-03-03 00:00:00 UTC,53144755
343030861,Marketplace,2023-12-06 00:00:00 UTC,1232584400
1403643000,Web,2024-01-05 00:00:00 UTC,168321293
1581027413,Marketplace,2022-07-15 00:00:00 UTC,2053775882
707260935,Web,2023-03-02 00:00:00 UTC,512545157
302402677,Web,2022-09-07 00:00:00 UTC,1911626118
1432785327,Web,2024-11-15 00:00:00 UTC,1147276089
1417252219,Web,2023-02-01 00:00:00 UTC,1821848148
188989402,Marketplace,2022-03-01 00:00:00 UTC,2052648941
2055573883,Web,2023-03-29 00:00:00 UTC,221030508
606482111,Web,2023-04-01 00:00:00 UTC,754232245
248436320,Marketplace,2020-03-14 00:00:00 UTC,1095576593
983136837,Marketplace,2023-04-03 00:00:00 UTC,1166119510
468218998,Marketplace,2023-11-21 00:00:00 UTC,1487844265
1554320163,Web,2022-06-18 00:00:00 UTC,805601435
1881612214,Web,2024-10-25 00:00:00 UTC,463325082
1546134998,Web,2023-06-05 00:00:00 UTC,344830229
365509910,Marketplace,2021-11-08 00:00:00 UTC,427801427
1225577232,Marketplace,2020-06-29 00:00:00 UTC,1629999713
203946101,Web,2021-05-18 00:00:00 UTC,1541857056
405596636,Web,2022-05-19 00:00:00 UTC,473357594
1976998691,Marketplace,2021-04-13 00:00:00 UTC,1245152402
1925561644,Web,2023-11-11 00:00:00 UTC,971599839
1203565563,Web,2023-05-23 00:00:00 UTC,841249756
592073089,Marketplace,2022-08-17 00:00:00 UTC,1321930303
1116869653,Marketplace,2022-11-09 00:00:00 UTC,938037384
