 ID, Property ID, Employee ID, Date, Type, Cost, Status, Notes
524451729,1590213420,295825571,2024-01-01 00:00:00 UTC,Routine,6176.316298127384,Complete,
1112126086,1450948801,1266790955,2024-01-01 00:00:00 UTC,Routine,12030.561317041032,Complete,
297838682,2075184670,1784784633,2024-01-01 00:00:00 UTC,Routine,9001.19897447535,Complete,
2019159734,354933190,1941826224,2024-01-01 00:00:00 UTC,Upgrade,118318.1783045647,Complete,
2033964476,1442135924,890989298,2024-01-01 00:00:00 UTC,Routine,14781.106282196813,Complete,
1267553642,2048972548,1273783038,2024-01-01 00:00:00 UTC,Routine,13617.326206146008,Complete,
1651073704,1483109205,947726634,2024-01-02 00:00:00 UTC,Routine,11100.812886450783,Complete,
199716590,1959898617,1823426312,2024-01-02 00:00:00 UTC,Routine,5744.194670652094,Complete,
920905887,1029899189,1380889005,2024-01-02 00:00:00 UTC,Routine,13945.894125982722,Complete,
482092274,2075184670,1784784633,2024-01-02 00:00:00 UTC,Upgrade,189521.44317453064,Complete,
199163696,463030369,1568866139,2024-01-02 00:00:00 UTC,Routine,5153.08278268757,Complete,
2062479443,887154724,1679213592,2024-01-02 00:00:00 UTC,Routine,5610.101190433871,Complete,
1528251638,1623776947,1804524147,2024-01-02 00:00:00 UTC,Upgrade,166938.52784335238,Complete,
614172181,1353451729,1713323831,2024-01-02 00:00:00 UTC,Routine,11944.139131463173,Complete,
2041119700,765188855,225739171,2024-01-02 00:00:00 UTC,Emergency,28933.371458282516,Complete,
2015511313,615452332,1603047022,2024-01-03 00:00:00 UTC,Routine,5192.56851765199,Complete,
305328132,1623776947,1804524147,2024-01-03 00:00:00 UTC,Routine,14880.988291265792,Complete,
1714752997,1232613023,192011285,2024-01-03 00:00:00 UTC,Routine,13615.972642540017,Complete,
1313394740,354933190,1941826224,2024-01-03 00:00:00 UTC,Upgrade,163093.2779696913,Complete,
301009141,1523937773,941140533,2024-01-03 00:00:00 UTC,Routine,14942.262366454002,Complete,
1568764262,1070809456,649089865,2024-01-04 00:00:00 UTC,Routine,8771.631638724217,Complete,
1032100433,1137588923,817308870,2024-01-04 00:00:00 UTC,Upgrade,113246.93559257273,Complete,
1445609957,1959898617,1823426312,2024-01-04 00:00:00 UTC,Routine,6250.166314544708,Complete,
1158464132,1442135924,890989298,2024-01-04 00:00:00 UTC,Upgrade,62776.58249360898,Complete,
837676842,335299672,1092953317,2024-01-04 00:00:00 UTC,Routine,10511.77970021235,Complete,
592068505,1776603351,1209399128,2024-01-05 00:00:00 UTC,Routine,9849.06724648803,Complete,
1589760243,1624024901,654366233,2024-01-05 00:00:00 UTC,Routine,14110.664253605375,Complete,
1361824119,2040920733,2146093284,2024-01-05 00:00:00 UTC,Upgrade,179963.67865481373,Complete,
1094307414,59414536,242692558,2024-01-05 00:00:00 UTC,Routine,11433.645799156397,Complete,
1116655199,2129512070,2025811115,2024-01-05 00:00:00 UTC,Routine,11071.011606214928,Complete,
234726339,1924416294,365115938,2024-01-05 00:00:00 UTC,Routine,12468.213632132209,Complete,
1539476499,1134549243,225668339,2024-01-06 00:00:00 UTC,Routine,14208.647379109987,Complete,
991730600,1971107506,649650237,2024-01-06 00:00:00 UTC,Emergency,19556.714951093076,Complete,
1361037731,826150851,236621541,2024-01-06 00:00:00 UTC,Routine,13906.5981624208,Complete,
748773160,2055425873,1818921851,2024-01-07 00:00:00 UTC,Routine,7752.132044654174,Complete,
91851011,128004263,2057299292,2024-01-07 00:00:00 UTC,Upgrade,111802.1077771389,Complete,
1537826235,1714793362,1090237964,2024-01-07 00:00:00 UTC,Emergency,19708.53896484912,Complete,
806606937,826150851,236621541,2024-01-07 00:00:00 UTC,Routine,14840.602137156387,Complete,
530459136,1872067282,1240153872,2024-01-08 00:00:00 UTC,Upgrade,126757.82423853865,Complete,
1402099074,282017220,1471020265,2024-01-08 00:00:00 UTC,Routine,11136.979463097843,Complete,
615955453,423983562,1534226044,2024-01-08 00:00:00 UTC,Routine,5982.220552216936,Complete,
764168630,1714793362,1090237964,2024-01-08 00:00:00 UTC,Routine,11548.176003770024,Complete,
2004100347,779232560,175964728,2024-01-09 00:00:00 UTC,Routine,7375.700005096856,Complete,
808595435,1607305882,1553156891,2024-01-09 00:00:00 UTC,Routine,9725.724181680378,Complete,
