 Wildfire Risk Zone ID, Boundary, Current Risk, Vegetation Density, Last Assessment, Service Region ID
727810962,"POLYGON(41 -124, 40 -124, 40 -125, 41 -124)",Low,0.8380324889863844,2023-08-21 00:00:00 UTC,1316608638
1676771378,"POLYGON(41 -124, 41 -124, 41 -125, 41 -124)",Low,0.7373477302571037,2023-07-16 00:00:00 UTC,1316608638
1944383128,"POLYGON(42 -125, 41 -124, 41 -125, 42 -125)",Low,0.46387487838925817,2023-11-06 00:00:00 UTC,1316608638
2143445617,"POLYGON(42 -124, 41 -123, 41 -124, 42 -124)",Low,0.6893224781176523,2023-03-14 00:00:00 UTC,1316608638
845878042,"POLYGON(42 -124, 41 -124, 41 -124, 42 -124)",Low,0.593259970207281,2023-12-20 00:00:00 UTC,1316608638
1019935206,"POLYGON(41 -124, 41 -123, 41 -124, 41 -124)",Low,0.7998105706481138,2023-06-26 00:00:00 UTC,1316608638
1879596746,"POLYGON(41 -124, 40 -124, 40 -124, 41 -124)",Low,0.3412591760152014,2023-03-11 00:00:00 UTC,1316608638
1363050355,"POLYGON(39 -120, 38 -119, 38 -120, 39 -120)",Low,0.8262782246927547,2023-01-17 00:00:00 UTC,1686647425
1187818812,"POLYGON(39 -120, 38 -120, 38 -121, 39 -120)",Low,0.3188165341566107,2023-12-09 00:00:00 UTC,1686647425
314470894,"POLYGON(38 -120, 37 -119, 37 -120, 38 -120)",Low,0.5453003807924668,2023-12-28 00:00:00 UTC,1686647425
37980819,"POLYGON(37 -120, 36 -119, 36 -120, 37 -120)",Low,0.3787723481786267,2023-02-21 00:00:00 UTC,260124265
306341021,"POLYGON(37 -120, 36 -119, 36 -120, 37 -120)",Low,0.6802293262456103,2023-05-15 00:00:00 UTC,260124265
1980467414,"POLYGON(37 -120, 36 -119, 36 -120, 37 -120)",Low,0.6345651833936031,2023-06-26 00:00:00 UTC,260124265
479073424,"POLYGON(37 -120, 37 -119, 37 -120, 37 -120)",Low,0.7326742916131987,2023-09-24 00:00:00 UTC,260124265
496614622,"POLYGON(37 -120, 36 -119, 36 -120, 37 -120)",Low,0.506808172789039,2023-10-03 00:00:00 UTC,260124265
742280425,"POLYGON(36 -120, 36 -120, 36 -120, 36 -120)",Low,0.697483416387724,2023-04-05 00:00:00 UTC,260124265
635585454,"POLYGON(37 -120, 36 -119, 36 -120, 37 -120)",Low,0.336511037494121,2023-10-24 00:00:00 UTC,260124265
