_bom_id,_product_id,_prev_revision_id,_creation_date
356876702,1868736060,0,2020-01-01 00:00:00 UTC
1023306535,1868736060,1,2021-07-01 00:00:00 UTC
55661024,1868736060,2,2023-01-01 00:00:00 UTC
1683566574,1493914810,0,2020-01-01 00:00:00 UTC
744015698,1493914810,1,2021-07-01 00:00:00 UTC
2063182165,1493914810,2,2023-01-01 00:00:00 UTC
702121694,1510047315,0,2020-01-01 00:00:00 UTC
1609814566,1510047315,1,2021-07-01 00:00:00 UTC
23087209,1510047315,2,2023-01-01 00:00:00 UTC
70332035,2084759432,0,2020-01-01 00:00:00 UTC
1546775864,2084759432,1,2021-07-01 00:00:00 UTC
1240066271,2084759432,2,2023-01-01 00:00:00 UTC
426200770,827315510,0,2020-01-01 00:00:00 UTC
1177676374,827315510,1,2021-07-01 00:00:00 UTC
86539247,827315510,2,2023-01-01 00:00:00 UTC
1671046035,928004994,0,2020-01-01 00:00:00 UTC
1063779331,928004994,1,2021-07-01 00:00:00 UTC
348009418,928004994,2,2023-01-01 00:00:00 UTC
208515015,1782693052,0,2020-01-01 00:00:00 UTC
2029172265,1782693052,1,2021-07-01 00:00:00 UTC
14584903,1782693052,2,2023-01-01 00:00:00 UTC
1296421235,1075618569,0,2020-01-01 00:00:00 UTC
1259837544,1075618569,1,2021-07-01 00:00:00 UTC
800866781,1075618569,2,2023-01-01 00:00:00 UTC
1830515327,1401067003,0,2020-01-01 00:00:00 UTC
1257015130,1401067003,1,2021-07-01 00:00:00 UTC
1439072451,1401067003,2,2023-01-01 00:00:00 UTC
1971968425,1034572284,0,2020-01-01 00:00:00 UTC
322057526,1034572284,1,2021-07-01 00:00:00 UTC
167987722,1034572284,2,2023-01-01 00:00:00 UTC
428533134,629876793,0,2020-01-01 00:00:00 UTC
1741218881,629876793,1,2021-07-01 00:00:00 UTC
2069289338,629876793,2,2023-01-01 00:00:00 UTC
861611310,189755443,0,2020-01-01 00:00:00 UTC
600076762,189755443,1,2021-07-01 00:00:00 UTC
814190470,189755443,2,2023-01-01 00:00:00 UTC
1967326705,1396184568,0,2020-01-01 00:00:00 UTC
1290756591,1396184568,1,2021-07-01 00:00:00 UTC
4561513,1396184568,2,2023-01-01 00:00:00 UTC
1858263079,728006325,0,2020-01-01 00:00:00 UTC
1043474103,728006325,1,2021-07-01 00:00:00 UTC
1325088680,728006325,2,2023-01-01 00:00:00 UTC
1558268194,1390150159,0,2020-01-01 00:00:00 UTC
1595377886,1390150159,1,2021-07-01 00:00:00 UTC
836323994,1390150159,2,2023-01-01 00:00:00 UTC
2037983743,1640874269,0,2020-01-01 00:00:00 UTC
453267486,1640874269,1,2021-07-01 00:00:00 UTC
127511135,1640874269,2,2023-01-01 00:00:00 UTC
658045219,1544140226,0,2020-01-01 00:00:00 UTC
681845095,1544140226,1,2021-07-01 00:00:00 UTC
749994375,1544140226,2,2023-01-01 00:00:00 UTC
441245719,82940820,0,2020-01-01 00:00:00 UTC
358341868,82940820,1,2021-07-01 00:00:00 UTC
1423588543,82940820,2,2023-01-01 00:00:00 UTC
1706808022,863953796,0,2020-01-01 00:00:00 UTC
464993139,863953796,1,2021-07-01 00:00:00 UTC
1091750377,863953796,2,2023-01-01 00:00:00 UTC
170527631,122580610,0,2020-01-01 00:00:00 UTC
950029806,122580610,1,2021-07-01 00:00:00 UTC
2033152835,122580610,2,2023-01-01 00:00:00 UTC
514562677,1653435868,0,2020-01-01 00:00:00 UTC
1354668729,1653435868,1,2021-07-01 00:00:00 UTC
925847380,1653435868,2,2023-01-01 00:00:00 UTC
577797625,1544077154,0,2020-01-01 00:00:00 UTC
1988678568,1544077154,1,2021-07-01 00:00:00 UTC
802097485,1544077154,2,2023-01-01 00:00:00 UTC
1789112993,2403744,0,2020-01-01 00:00:00 UTC
51900847,2403744,1,2021-07-01 00:00:00 UTC
689713680,2403744,2,2023-01-01 00:00:00 UTC
1476891845,2024386746,0,2020-01-01 00:00:00 UTC
1668824393,2024386746,1,2021-07-01 00:00:00 UTC
190995617,2024386746,2,2023-01-01 00:00:00 UTC
2080518236,1012387635,0,2020-01-01 00:00:00 UTC
1077024663,1012387635,1,2021-07-01 00:00:00 UTC
374096238,1012387635,2,2023-01-01 00:00:00 UTC
2120759249,647987397,0,2020-01-01 00:00:00 UTC
1866648939,647987397,1,2021-07-01 00:00:00 UTC
13186797,647987397,2,2023-01-01 00:00:00 UTC
1490589197,184816099,0,2020-01-01 00:00:00 UTC
1527206787,184816099,1,2021-07-01 00:00:00 UTC
701245961,184816099,2,2023-01-01 00:00:00 UTC
1588627154,1011602003,0,2020-01-01 00:00:00 UTC
323294755,1011602003,1,2021-07-01 00:00:00 UTC
952953616,1011602003,2,2023-01-01 00:00:00 UTC
539978655,443578329,0,2020-01-01 00:00:00 UTC
648860719,443578329,1,2021-07-01 00:00:00 UTC
1071591306,443578329,2,2023-01-01 00:00:00 UTC
898225111,1859780028,0,2020-01-01 00:00:00 UTC
1173975256,1859780028,1,2021-07-01 00:00:00 UTC
597349793,1859780028,2,2023-01-01 00:00:00 UTC
1623825596,1755307186,0,2020-01-01 00:00:00 UTC
1069283160,1755307186,1,2021-07-01 00:00:00 UTC
54444455,1755307186,2,2023-01-01 00:00:00 UTC
1267115771,118268206,0,2020-01-01 00:00:00 UTC
413025262,118268206,1,2021-07-01 00:00:00 UTC
657341305,118268206,2,2023-01-01 00:00:00 UTC
1199673490,433738834,0,2020-01-01 00:00:00 UTC
1991413110,433738834,1,2021-07-01 00:00:00 UTC
1041594958,433738834,2,2023-01-01 00:00:00 UTC
1198891864,1903395576,0,2020-01-01 00:00:00 UTC
586180403,1903395576,1,2021-07-01 00:00:00 UTC
