 ID, Vessel ID, Container ID, Invoice ID, Origin ID, Destination ID, Cargo Type, Weight, Departure Date, Arrival Date, Status
459773754,1722183516,569149869,2116101733,1148881892,1509019523,General,20.0,2024-01-02 00:00:00 UTC,2024-01-12 00:00:00 UTC,In-Transit
1471676093,1258230698,65597860,302123530,1148881892,1069451396,General,20.0,2024-01-02 00:00:00 UTC,2024-01-12 00:00:00 UTC,In-Transit
290879693,224686989,432911306,1358500301,1148881892,1509019523,General,20.0,2024-01-02 00:00:00 UTC,2024-01-12 00:00:00 UTC,In-Transit
685250289,661126257,1210391351,1529257817,1148881892,1069451396,General,20.0,2024-01-04 00:00:00 UTC,2024-01-14 00:00:00 UTC,In-Transit
258749532,1662239075,1210391351,1346253752,1069451396,1509019523,General,20.0,2024-01-06 00:00:00 UTC,2024-01-16 00:00:00 UTC,In-Transit
790917374,1662239075,65597860,1703805268,1148881892,1069451396,General,20.0,2024-01-07 00:00:00 UTC,2024-01-17 00:00:00 UTC,In-Transit
556251011,1722183516,569149869,1231404659,1148881892,1509019523,General,20.0,2024-01-07 00:00:00 UTC,2024-01-17 00:00:00 UTC,In-Transit
1079439046,1662239075,1430378783,1630087772,1069451396,1509019523,General,20.0,2024-01-08 00:00:00 UTC,2024-01-18 00:00:00 UTC,In-Transit
2044027139,1722183516,2132909713,1605838862,1509019523,1148881892,General,20.0,2024-01-08 00:00:00 UTC,2024-01-18 00:00:00 UTC,In-Transit
753344091,1258230698,1430378783,171124313,1069451396,1509019523,General,20.0,2024-01-08 00:00:00 UTC,2024-01-18 00:00:00 UTC,In-Transit
2072103814,661126257,1430378783,389213386,1509019523,1069451396,General,20.0,2024-01-09 00:00:00 UTC,2024-01-19 00:00:00 UTC,In-Transit
1335792472,1662239075,2022528239,1341618504,1148881892,1069451396,General,20.0,2024-01-10 00:00:00 UTC,2024-01-20 00:00:00 UTC,In-Transit
858803786,1722183516,1210391351,1014807628,1509019523,1069451396,General,20.0,2024-01-10 00:00:00 UTC,2024-01-20 00:00:00 UTC,In-Transit
1038302097,224686989,1064332384,133272423,1148881892,1509019523,General,20.0,2024-01-10 00:00:00 UTC,2024-01-20 00:00:00 UTC,In-Transit
1846842556,1722183516,1210391351,1507336898,1509019523,1148881892,General,20.0,2024-01-11 00:00:00 UTC,2024-01-21 00:00:00 UTC,In-Transit
1065397830,1258230698,432911306,224971520,1148881892,1069451396,General,20.0,2024-01-11 00:00:00 UTC,2024-01-21 00:00:00 UTC,In-Transit
795030578,1662239075,1210391351,159435139,1069451396,1148881892,General,20.0,2024-01-12 00:00:00 UTC,2024-01-22 00:00:00 UTC,In-Transit
671524064,1722183516,2022528239,1698605130,1069451396,1509019523,General,20.0,2024-01-13 00:00:00 UTC,2024-01-23 00:00:00 UTC,In-Transit
1684199594,1258230698,1064332384,1165988999,1148881892,1069451396,General,20.0,2024-01-13 00:00:00 UTC,2024-01-23 00:00:00 UTC,In-Transit
233558368,224686989,2022528239,2054113248,1148881892,1509019523,General,20.0,2024-01-14 00:00:00 UTC,2024-01-24 00:00:00 UTC,In-Transit
2068594296,1722183516,1430378783,2071903493,1509019523,1069451396,General,20.0,2024-01-15 00:00:00 UTC,2024-01-25 00:00:00 UTC,In-Transit
1511213909,1258230698,60651773,1499075023,1148881892,1509019523,General,20.0,2024-01-15 00:00:00 UTC,2024-01-25 00:00:00 UTC,In-Transit
703989365,1662239075,1210391351,816637990,1069451396,1148881892,General,20.0,2024-01-17 00:00:00 UTC,2024-01-27 00:00:00 UTC,In-Transit
436769876,1722183516,60651773,158833290,1069451396,1509019523,General,20.0,2024-01-17 00:00:00 UTC,2024-01-27 00:00:00 UTC,In-Transit
1522200779,1258230698,432911306,394883006,1069451396,1509019523,General,20.0,2024-01-17 00:00:00 UTC,2024-01-27 00:00:00 UTC,In-Transit
1503938087,1662239075,432911306,1971514129,1509019523,1148881892,General,20.0,2024-01-19 00:00:00 UTC,2024-01-29 00:00:00 UTC,In-Transit
473140321,1258230698,569149869,1911689430,1148881892,1069451396,General,20.0,2024-01-19 00:00:00 UTC,2024-01-29 00:00:00 UTC,In-Transit
1890935509,1722183516,2022528239,1794863642,1148881892,1069451396,General,20.0,2024-01-20 00:00:00 UTC,2024-01-30 00:00:00 UTC,In-Transit
848645707,661126257,65597860,863209586,1509019523,1148881892,General,20.0,2024-01-21 00:00:00 UTC,2024-01-31 00:00:00 UTC,In-Transit
1578987269,1258230698,2132909713,1559881305,1148881892,1509019523,General,20.0,2024-01-21 00:00:00 UTC,2024-01-31 00:00:00 UTC,In-Transit
1981812966,224686989,1796382062,1788841762,1509019523,1069451396,General,20.0,2024-01-21 00:00:00 UTC,2024-01-31 00:00:00 UTC,In-Transit
1586142924,1662239075,2132909713,60937896,1148881892,1509019523,General,20.0,2024-01-22 00:00:00 UTC,2024-02-01 00:00:00 UTC,In-Transit
1453732681,1258230698,2022528239,143222875,1069451396,1148881892,General,20.0,2024-01-22 00:00:00 UTC,2024-02-01 00:00:00 UTC,In-Transit
941451909,224686989,432911306,85707180,1069451396,1148881892,General,20.0,2024-01-22 00:00:00 UTC,2024-02-01 00:00:00 UTC,In-Transit
949607411,661126257,432911306,203410583,1069451396,1509019523,General,20.0,2024-01-23 00:00:00 UTC,2024-02-02 00:00:00 UTC,In-Transit
942457879,661126257,1210391351,498642956,1069451396,1148881892,General,20.0,2024-01-24 00:00:00 UTC,2024-02-03 00:00:00 UTC,In-Transit
234262711,1662239075,1064332384,3594777,1069451396,1509019523,General,20.0,2024-01-24 00:00:00 UTC,2024-02-03 00:00:00 UTC,In-Transit
1609105636,1258230698,65597860,1457971696,1148881892,1509019523,General,20.0,2024-01-24 00:00:00 UTC,2024-02-03 00:00:00 UTC,In-Transit
1897197196,661126257,2132909713,230822075,1148881892,1509019523,General,20.0,2024-01-25 00:00:00 UTC,2024-02-04 00:00:00 UTC,In-Transit
1549724015,1662239075,1796382062,1147035419,1148881892,1509019523,General,20.0,2024-01-25 00:00:00 UTC,2024-02-04 00:00:00 UTC,In-Transit
146466084,1722183516,2132909713,905319004,1069451396,1148881892,General,20.0,2024-01-26 00:00:00 UTC,2024-02-05 00:00:00 UTC,In-Transit
1955716062,661126257,2022528239,1406513604,1509019523,1148881892,General,20.0,2024-01-27 00:00:00 UTC,2024-02-06 00:00:00 UTC,In-Transit
828177301,1662239075,1796382062,1164913123,1148881892,1509019523,General,20.0,2024-01-27 00:00:00 UTC,2024-02-06 00:00:00 UTC,In-Transit
1573210672,1258230698,1430378783,66088754,1069451396,1509019523,General,20.0,2024-01-27 00:00:00 UTC,2024-02-06 00:00:00 UTC,In-Transit
1712378211,224686989,2022528239,1368536220,1509019523,1148881892,General,20.0,2024-01-27 00:00:00 UTC,2024-02-06 00:00:00 UTC,In-Transit
1947368778,224686989,2132909713,1416031626,1069451396,1509019523,General,20.0,2024-01-28 00:00:00 UTC,2024-02-07 00:00:00 UTC,In-Transit
1117017769,1662239075,1430378783,1479036994,1069451396,1509019523,General,20.0,2024-01-29 00:00:00 UTC,2024-02-08 00:00:00 UTC,In-Transit
1069231214,661126257,2132909713,975353694,1509019523,1069451396,General,20.0,2024-01-30 00:00:00 UTC,2024-02-09 00:00:00 UTC,In-Transit
152770473,224686989,2022528239,1366355385,1069451396,1148881892,General,20.0,2024-01-31 00:00:00 UTC,2024-02-10 00:00:00 UTC,In-Transit
1625347116,661126257,60651773,1025078076,1069451396,1148881892,General,20.0,2024-02-02 00:00:00 UTC,2024-02-12 00:00:00 UTC,In-Transit
1427308554,1662239075,1210391351,508304192,1148881892,1509019523,General,20.0,2024-02-03 00:00:00 UTC,2024-02-13 00:00:00 UTC,In-Transit
1586814023,1258230698,1210391351,1467361484,1069451396,1509019523,General,20.0,2024-02-03 00:00:00 UTC,2024-02-13 00:00:00 UTC,In-Transit
1200371880,1662239075,60651773,1870451296,1069451396,1509019523,General,20.0,2024-02-04 00:00:00 UTC,2024-02-14 00:00:00 UTC,In-Transit
1971251057,1722183516,65597860,911617738,1069451396,1148881892,General,20.0,2024-02-05 00:00:00 UTC,2024-02-15 00:00:00 UTC,In-Transit
2130578881,224686989,65597860,729700612,1069451396,1148881892,General,20.0,2024-02-07 00:00:00 UTC,2024-02-17 00:00:00 UTC,In-Transit
1240465599,1722183516,1064332384,851234351,1509019523,1069451396,General,20.0,2024-02-08 00:00:00 UTC,2024-02-18 00:00:00 UTC,In-Transit
2076069636,1662239075,1796382062,993006731,1148881892,1069451396,General,20.0,2024-02-09 00:00:00 UTC,2024-02-19 00:00:00 UTC,In-Transit
