 ID, User ID, Start Time, End Time, Platform, Ip Address, User Agent
642804794,1310919404,2025-01-03 22:33:43.751115 UTC,2025-01-03 23:36:05.751115 UTC,Web,11.218.137.255,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
608229282,1310919404,2024-12-26 09:10:51.752653 UTC,2024-12-26 10:48:16.752653 UTC,Mobile,88.153.99.13,Mozilla/5.0 (Android 12; Mobile) AppleWebKit/537.36
420540784,1310919404,2024-12-29 09:13:47.755759 UTC,2024-12-29 12:47:16.755759 UTC,Web,95.90.27.42,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
782437139,1310919404,2025-01-07 02:10:30.757327 UTC,2025-01-07 03:18:00.757327 UTC,Web,1.178.69.132,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
494940485,1310919404,2025-01-14 18:21:57.758794 UTC,2025-01-14 21:37:09.758794 UTC,API,239.215.197.254,Postman/8.0
2139949327,1310919404,2024-12-31 20:11:27.760477 UTC,2024-12-31 20:53:48.760477 UTC,Web,248.135.164.186,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
1613267440,1310919404,2025-01-07 06:57:34.761795 UTC,2025-01-07 09:35:03.761795 UTC,Web,160.255.25.30,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
925229710,1310919404,2024-12-29 02:19:00.764196 UTC,2024-12-29 05:40:46.764196 UTC,API,236.197.187.7,CRM-API-Client/1.0
362674476,1310919404,2025-01-11 01:48:33.76641 UTC,,Web,120.13.59.67,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
1138124965,1310919404,2024-12-28 00:30:56.767458 UTC,2024-12-28 02:20:04.767458 UTC,Mobile,223.152.132.40,Mozilla/5.0 (Android 12; Mobile) AppleWebKit/537.36
1495486104,1310919404,2025-01-01 10:39:45.769456 UTC,2025-01-01 13:04:33.769456 UTC,Web,185.40.189.20,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
1729712570,1310919404,2025-01-01 11:37:32.772108 UTC,2025-01-01 11:51:04.772108 UTC,Web,252.104.24.200,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
1277425752,1310919404,2024-12-31 00:53:57.773331 UTC,2024-12-31 03:50:08.773331 UTC,Mobile,221.178.113.125,Mozilla/5.0 (Android 12; Mobile) AppleWebKit/537.36
81793147,1310919404,2025-01-13 22:48:34.774696 UTC,2025-01-14 00:45:20.774696 UTC,Web,124.85.37.25,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
440945154,1310919404,2025-01-23 22:23:47.776863 UTC,2025-01-24 02:06:49.776863 UTC,API,153.129.33.244,CRM-API-Client/1.0
874788068,1310919404,2025-01-23 06:07:35.778712 UTC,2025-01-23 07:49:34.778712 UTC,Web,168.147.209.2,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
62053901,1198480636,2025-01-21 20:31:26.780275 UTC,2025-01-21 23:41:34.780275 UTC,Web,254.84.118.103,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
100040026,1198480636,2025-01-10 01:30:23.783136 UTC,2025-01-10 04:30:17.783136 UTC,Web,161.132.236.44,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
988990406,1198480636,2025-01-07 05:39:45.784856 UTC,,API,141.166.30.69,curl/7.64.1
755350040,1198480636,2025-01-16 04:13:07.785985 UTC,2025-01-16 06:51:28.785985 UTC,Mobile,155.179.104.254,Mozilla/5.0 (Android 12; Mobile) AppleWebKit/537.36
160696312,1198480636,2025-01-20 18:55:22.788895 UTC,2025-01-20 22:35:28.788895 UTC,Web,196.3.70.216,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
1719431306,1198480636,2025-01-10 04:37:54.790314 UTC,2025-01-10 06:10:52.790314 UTC,Mobile,88.17.231.235,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15
1470501270,1198480636,2025-01-16 16:48:52.79234 UTC,2025-01-16 16:54:26.79234 UTC,Mobile,6.251.73.240,Mozilla/5.0 (Android 12; Mobile) AppleWebKit/537.36
1478599537,1198480636,2024-12-29 17:48:48.795354 UTC,2024-12-29 21:21:05.795354 UTC,Web,89.112.92.39,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
712825893,1198480636,2025-01-09 06:01:28.797164 UTC,2025-01-09 09:26:09.797164 UTC,Web,179.195.171.46,Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36
1322683567,1198480636,2025-01-16 01:05:33.799314 UTC,2025-01-16 04:25:44.799314 UTC,Web,175.131.84.65,Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36
141691427,1198480636,2024-12-26 20:06:07.802202 UTC,2024-12-26 23:56:07.802202 UTC,Mobile,175.78.145.30,Mozilla/5.0 (iPhone; CPU iPhone OS 14_0 like Mac OS X) AppleWebKit/605.1.15
931925763,1198480636,2025-01-12 14:08:42.803574 UTC,2025-01-12 14:31:40.803574 UTC,API,191.56.255.19,Postman/8.0
1804525204,1198480636,2024-12-27 13:21:22.806213 UTC,2024-12-27 15:21:17.806213 UTC,Web,224.30.244.201,Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36
