 Bom ID, Product ID, Prev Revision ID, Creation Date
1829121467,294246822,0,2020-01-01 00:00:00 UTC
2144392679,294246822,1,2021-07-01 00:00:00 UTC
1764034847,294246822,2,2023-01-01 00:00:00 UTC
1546708966,509111345,0,2020-01-01 00:00:00 UTC
332230657,509111345,1,2021-07-01 00:00:00 UTC
1994072846,509111345,2,2023-01-01 00:00:00 UTC
1263988580,1894626563,0,2020-01-01 00:00:00 UTC
629079533,1894626563,1,2021-07-01 00:00:00 UTC
211581362,1894626563,2,2023-01-01 00:00:00 UTC
554972518,1141751565,0,2020-01-01 00:00:00 UTC
1527764086,1141751565,1,2021-07-01 00:00:00 UTC
1541715510,1141751565,2,2023-01-01 00:00:00 UTC
1869802987,1806313054,0,2020-01-01 00:00:00 UTC
1223576406,1806313054,1,2021-07-01 00:00:00 UTC
542463543,1806313054,2,2023-01-01 00:00:00 UTC
820815738,714142149,0,2020-01-01 00:00:00 UTC
1511320425,714142149,1,2021-07-01 00:00:00 UTC
215767808,714142149,2,2023-01-01 00:00:00 UTC
2003529338,1555491256,0,2020-01-01 00:00:00 UTC
1672876125,1555491256,1,2021-07-01 00:00:00 UTC
1924717524,1555491256,2,2023-01-01 00:00:00 UTC
301665515,1143348200,0,2020-01-01 00:00:00 UTC
1982249687,1143348200,1,2021-07-01 00:00:00 UTC
275589172,1143348200,2,2023-01-01 00:00:00 UTC
645292262,964070615,0,2020-01-01 00:00:00 UTC
447632069,964070615,1,2021-07-01 00:00:00 UTC
1999345945,964070615,2,2023-01-01 00:00:00 UTC
397325920,312154052,0,2020-01-01 00:00:00 UTC
1373312586,312154052,1,2021-07-01 00:00:00 UTC
786016391,312154052,2,2023-01-01 00:00:00 UTC
747408911,1772410983,0,2020-01-01 00:00:00 UTC
550173934,1772410983,1,2021-07-01 00:00:00 UTC
680693128,1772410983,2,2023-01-01 00:00:00 UTC
1202688242,1534036446,0,2020-01-01 00:00:00 UTC
143046758,1534036446,1,2021-07-01 00:00:00 UTC
1489426704,1534036446,2,2023-01-01 00:00:00 UTC
1660446470,1841958067,0,2020-01-01 00:00:00 UTC
286132158,1841958067,1,2021-07-01 00:00:00 UTC
814412834,1841958067,2,2023-01-01 00:00:00 UTC
103446226,1894879113,0,2020-01-01 00:00:00 UTC
