 ID, Organization ID, Name, Type, Tier, Industry, Annual Revenue, Contract Value, Renewal Date, Last Contacted At, Created At, Region, Status, Manager
1814784768,916928130,NA Business Unit,Direct,Enterprise,Retail,3.9886144524361315e9,1295445.1364342486,2025-03-01 01:23:14.084116 UTC,2025-01-12 03:44:09.084116 UTC,2024-06-26 21:05:38.084116 UTC,NA,Active,1310919404
769878675,916928130,EMEA Division,Direct,SMB,Financial,1.5991078287088858e7,99630.77261371493,2025-04-16 12:46:50.17265 UTC,2025-01-18 23:02:15.17265 UTC,2024-09-20 06:02:12.17265 UTC,EMEA,Active,1310919404
1142032887,916928130,LATAM Business Unit,Direct,Mid-Market,Manufacturing,3.29323353816782e8,252886.09586501148,2025-10-21 01:47:38.222339 UTC,2025-01-12 12:08:12.222339 UTC,2023-05-12 04:12:00.222339 UTC,LATAM,Active,1310919404
1344902161,916928130,NA Business Unit,Direct,SMB,Technology,3.686236155927034e7,34668.18198506519,2025-11-18 00:17:59.277284 UTC,2025-01-20 03:04:50.277284 UTC,2024-11-04 18:52:37.277284 UTC,NA,Active,1310919404
2099648649,916928130,NA Subsidiary,Direct,SMB,Healthcare,1.5551213887105698e7,44101.84708941585,2025-08-31 14:55:14.335981 UTC,2025-01-23 05:07:01.335981 UTC,2023-04-05 21:55:01.335981 UTC,NA,Active,1310919404
2109408773,411681222,EMEA Branch,Direct,Mid-Market,Retail,3.974231381157287e8,277300.11207094515,2025-06-19 08:57:44.389075 UTC,2025-01-12 17:32:17.389075 UTC,2024-11-24 18:35:52.389075 UTC,EMEA,Active,1310919404
492273036,411681222,EMEA Division,Channel,SMB,Technology,2.1738355146186695e7,79239.30957665783,2025-11-04 23:36:00.451286 UTC,2025-01-22 08:25:22.451286 UTC,2023-02-03 02:23:36.451286 UTC,EMEA,Active,1310919404
1599025890,1801600549,APAC Subsidiary,Direct,Enterprise,Healthcare,3.1315100814304957e9,1713953.9502170593,2025-11-05 22:08:04.504975 UTC,2025-01-18 11:42:16.504975 UTC,2023-11-09 11:44:55.504975 UTC,APAC,Active,1310919404
2013239311,1801600549,EMEA Branch,Direct,Enterprise,Healthcare,2.3636449244385195e9,1095256.8715498378,2025-10-30 12:43:16.559799 UTC,2025-01-13 06:36:05.559799 UTC,2023-03-29 10:30:53.559799 UTC,EMEA,Active,1310919404
1821211846,1801600549,EMEA Business Unit,Direct,SMB,Retail,1.9695789891582035e7,96699.81942785873,2025-03-11 05:59:34.624088 UTC,2025-01-19 10:58:42.624088 UTC,2024-06-10 12:39:01.624088 UTC,EMEA,Active,1310919404
1897301659,1801600549,EMEA Business Unit,Channel,SMB,Healthcare,2.437073016182035e7,38164.664983372175,2025-10-22 17:59:01.696843 UTC,2025-01-12 09:31:29.696843 UTC,2023-08-06 11:27:26.696843 UTC,EMEA,Active,1310919404
272643655,239795474,EMEA Division,Channel,Enterprise,Financial,1.3213270827721267e9,951500.1843743903,2025-09-22 11:02:30.87639 UTC,2025-01-19 03:42:34.87639 UTC,2024-10-23 18:33:22.87639 UTC,EMEA,Active,1310919404
462328467,239795474,APAC Division,Direct,Enterprise,Financial,4.29995864833924e9,1454017.6099958243,2025-10-27 15:14:07.987391 UTC,2024-12-31 04:35:28.987391 UTC,2024-08-28 02:40:56.987391 UTC,APAC,At Risk,1310919404
220048013,239795474,NA Branch,Channel,SMB,Technology,4.277498620545526e7,34909.33281833926,2025-07-17 19:20:45.042286 UTC,2025-01-23 05:58:38.042286 UTC,2024-05-21 22:11:33.042286 UTC,NA,Active,1310919404
387127411,256821563,NA Subsidiary,Direct,SMB,Technology,4.979205046251993e7,24531.166986527798,2025-04-19 10:54:10.101944 UTC,2025-01-15 21:44:53.101944 UTC,2023-03-22 03:03:43.101944 UTC,NA,Active,1310919404
1251067829,256821563,NA Branch,Distributor,Enterprise,Financial,3.2151727897024784e9,1676178.3881375291,2025-09-15 02:30:38.149783 UTC,2025-01-20 23:31:59.149783 UTC,2023-02-19 12:33:58.149783 UTC,NA,Active,1310919404
