 ID, Vessel ID, Location ID, Employee ID, Arrival, Departure, Berthing Cost, Fuel Cost, Status
1777211827,1722183516,1148881892,805589879,2024-01-02 00:00:00 UTC,2024-01-03 00:00:00 UTC,10000.0,50000.0,Completed
1445457380,1258230698,1148881892,805589879,2024-01-02 00:00:00 UTC,2024-01-03 00:00:00 UTC,10000.0,50000.0,Completed
842474043,224686989,1148881892,805589879,2024-01-02 00:00:00 UTC,2024-01-03 00:00:00 UTC,10000.0,50000.0,Completed
1307420981,661126257,1148881892,805589879,2024-01-04 00:00:00 UTC,2024-01-05 00:00:00 UTC,10000.0,50000.0,Completed
1987210194,1662239075,1069451396,1189991438,2024-01-06 00:00:00 UTC,2024-01-07 00:00:00 UTC,10000.0,50000.0,Completed
891774214,1662239075,1148881892,805589879,2024-01-07 00:00:00 UTC,2024-01-08 00:00:00 UTC,10000.0,50000.0,Completed
768298132,1722183516,1148881892,805589879,2024-01-07 00:00:00 UTC,2024-01-08 00:00:00 UTC,10000.0,50000.0,Completed
2028249455,1662239075,1069451396,1189991438,2024-01-08 00:00:00 UTC,2024-01-09 00:00:00 UTC,10000.0,50000.0,Completed
1591059171,1722183516,1509019523,930819360,2024-01-08 00:00:00 UTC,2024-01-09 00:00:00 UTC,10000.0,50000.0,Completed
681858324,1258230698,1069451396,1189991438,2024-01-08 00:00:00 UTC,2024-01-09 00:00:00 UTC,10000.0,50000.0,Completed
1237569392,661126257,1509019523,930819360,2024-01-09 00:00:00 UTC,2024-01-10 00:00:00 UTC,10000.0,50000.0,Completed
1909503907,1662239075,1148881892,805589879,2024-01-10 00:00:00 UTC,2024-01-11 00:00:00 UTC,10000.0,50000.0,Completed
1834296867,1722183516,1509019523,930819360,2024-01-10 00:00:00 UTC,2024-01-11 00:00:00 UTC,10000.0,50000.0,Completed
687940814,224686989,1148881892,805589879,2024-01-10 00:00:00 UTC,2024-01-11 00:00:00 UTC,10000.0,50000.0,Completed
1797965299,1722183516,1509019523,930819360,2024-01-11 00:00:00 UTC,2024-01-12 00:00:00 UTC,10000.0,50000.0,Completed
17906554,1258230698,1148881892,805589879,2024-01-11 00:00:00 UTC,2024-01-12 00:00:00 UTC,10000.0,50000.0,Completed
309494359,1662239075,1069451396,1189991438,2024-01-12 00:00:00 UTC,2024-01-13 00:00:00 UTC,10000.0,50000.0,Completed
1170025447,1722183516,1069451396,1189991438,2024-01-13 00:00:00 UTC,2024-01-14 00:00:00 UTC,10000.0,50000.0,Completed
138262497,1258230698,1148881892,805589879,2024-01-13 00:00:00 UTC,2024-01-14 00:00:00 UTC,10000.0,50000.0,Completed
1840488763,224686989,1148881892,805589879,2024-01-14 00:00:00 UTC,2024-01-15 00:00:00 UTC,10000.0,50000.0,Completed
1716754020,1722183516,1509019523,930819360,2024-01-15 00:00:00 UTC,2024-01-16 00:00:00 UTC,10000.0,50000.0,Completed
1698458134,1258230698,1148881892,805589879,2024-01-15 00:00:00 UTC,2024-01-16 00:00:00 UTC,10000.0,50000.0,Completed
2028659335,1662239075,1069451396,1189991438,2024-01-17 00:00:00 UTC,2024-01-18 00:00:00 UTC,10000.0,50000.0,Completed
990398325,1722183516,1069451396,1189991438,2024-01-17 00:00:00 UTC,2024-01-18 00:00:00 UTC,10000.0,50000.0,Completed
503721713,1258230698,1069451396,1189991438,2024-01-17 00:00:00 UTC,2024-01-18 00:00:00 UTC,10000.0,50000.0,Completed
2118849683,1662239075,1509019523,930819360,2024-01-19 00:00:00 UTC,2024-01-20 00:00:00 UTC,10000.0,50000.0,Completed
1313483618,1258230698,1148881892,805589879,2024-01-19 00:00:00 UTC,2024-01-20 00:00:00 UTC,10000.0,50000.0,Completed
1463683074,1722183516,1148881892,805589879,2024-01-20 00:00:00 UTC,2024-01-21 00:00:00 UTC,10000.0,50000.0,Completed
1000124219,661126257,1509019523,930819360,2024-01-21 00:00:00 UTC,2024-01-22 00:00:00 UTC,10000.0,50000.0,Completed
854236558,1258230698,1148881892,805589879,2024-01-21 00:00:00 UTC,2024-01-22 00:00:00 UTC,10000.0,50000.0,Completed
359581102,224686989,1509019523,930819360,2024-01-21 00:00:00 UTC,2024-01-22 00:00:00 UTC,10000.0,50000.0,Completed
1478323221,1662239075,1148881892,805589879,2024-01-22 00:00:00 UTC,2024-01-23 00:00:00 UTC,10000.0,50000.0,Completed
2008509817,1258230698,1069451396,1189991438,2024-01-22 00:00:00 UTC,2024-01-23 00:00:00 UTC,10000.0,50000.0,Completed
1733476466,224686989,1069451396,1189991438,2024-01-22 00:00:00 UTC,2024-01-23 00:00:00 UTC,10000.0,50000.0,Completed
