 Health Assessment ID, Grid Asset ID, Assessment Date, Score, Risk Category
594443933,11140521,2023-03-06 00:00:00 UTC,0.1,Medium
851069624,11140521,2023-03-04 00:00:00 UTC,0.2562210980677736,Low
2049124113,11140521,2023-12-01 00:00:00 UTC,0.1,Critical
1894744664,11140521,2023-08-22 00:00:00 UTC,0.37567961900487845,High
803665251,11140521,2023-02-02 00:00:00 UTC,0.1,Low
396889609,11140521,2023-06-23 00:00:00 UTC,0.3043260605295993,Low
1218320811,1818985280,2023-07-06 00:00:00 UTC,0.23526511475954304,Critical
374090730,1818985280,2023-11-01 00:00:00 UTC,0.1,Critical
1453878666,1818985280,2023-05-04 00:00:00 UTC,0.15381167548857744,Critical
280850310,1818985280,2023-03-08 00:00:00 UTC,0.1,Low
2099747901,1818985280,2023-07-10 00:00:00 UTC,0.1,Medium
1658307155,1818985280,2023-10-02 00:00:00 UTC,0.1,High
946917535,1818985280,2023-01-03 00:00:00 UTC,0.1,High
247419042,1818985280,2023-02-08 00:00:00 UTC,0.24040758020490216,Low
1349395604,202551552,2023-10-26 00:00:00 UTC,0.1,Low
852533732,202551552,2023-10-07 00:00:00 UTC,0.1,High
581597683,202551552,2023-07-24 00:00:00 UTC,0.44098514470182587,Medium
1391444170,202551552,2023-04-17 00:00:00 UTC,0.1,Critical
1144326028,202551552,2023-03-26 00:00:00 UTC,0.1,Medium
1545363702,202551552,2023-02-09 00:00:00 UTC,0.4459573749081215,Low
1513451197,202551552,2023-06-16 00:00:00 UTC,0.1,Critical
481671146,202551552,2023-05-19 00:00:00 UTC,0.1,Medium
2043542716,202551552,2023-09-23 00:00:00 UTC,0.1,Low
1518663780,767166500,2023-08-22 00:00:00 UTC,0.1,Low
693612762,767166500,2023-04-11 00:00:00 UTC,0.42935693777974393,Medium
1884443204,767166500,2023-06-07 00:00:00 UTC,0.39923942229793596,Medium
864596385,767166500,2023-04-22 00:00:00 UTC,0.3077978933546517,Critical
1050160763,767166500,2023-01-20 00:00:00 UTC,0.1,Low
147014281,767166500,2023-07-15 00:00:00 UTC,0.1,Medium
451364265,767166500,2023-09-25 00:00:00 UTC,0.1,High
1452691533,767166500,2023-06-11 00:00:00 UTC,0.1,Medium
496886961,767166500,2023-03-07 00:00:00 UTC,0.1,Medium
1873830494,767166500,2023-06-21 00:00:00 UTC,0.2143943166891713,Low
1811492847,767166500,2023-05-17 00:00:00 UTC,0.1,Medium
1274738806,1064045302,2023-11-23 00:00:00 UTC,0.10859778800955144,High
203139626,1064045302,2023-05-04 00:00:00 UTC,0.17536925933945424,Critical
1343435622,1064045302,2023-04-08 00:00:00 UTC,0.1,Low
1101728000,1064045302,2023-06-19 00:00:00 UTC,0.1,High
509146463,1064045302,2023-09-16 00:00:00 UTC,0.42182656669959107,Critical
751802258,1064045302,2023-10-18 00:00:00 UTC,0.22001757023565016,Critical
790253077,1064045302,2023-08-11 00:00:00 UTC,0.1,Critical
1842024126,1815909320,2023-10-26 00:00:00 UTC,0.28335754975581784,High
185033360,1815909320,2023-03-10 00:00:00 UTC,0.13147984716071603,High
1462462384,1815909320,2023-05-14 00:00:00 UTC,0.35662321988995904,Medium
287548171,1815909320,2023-08-23 00:00:00 UTC,0.1,High
1636570238,1815909320,2023-10-09 00:00:00 UTC,0.41317200689980627,High
1058705756,1815909320,2023-10-22 00:00:00 UTC,0.1,Critical
169670215,1815909320,2023-12-20 00:00:00 UTC,0.348281138032849,Critical
1493270636,1342919392,2023-05-13 00:00:00 UTC,0.43013456598799615,Critical
