 Bom Component ID, Supply ID, Quantity
1733937588,281875912,8.623059956707491
1253840919,1613597488,1.8766910715239646
194248872,6556791,5.6887773454019985
1199134330,281875912,1.6530093968746957
8813127,1613597488,6.028008639443846
1199228061,6556791,9.084720408673677
1152222490,281875912,4.150001248817906
827946015,1613597488,4.974675647304094
1777145927,6556791,5.671398068477849
12540500,865281830,1.6964414882707328
218642148,443564170,8.434528279398732
1941036107,865281830,2.3529594016633446
539577903,443564170,4.7418497034625515
1566580842,865281830,9.652756910147154
1906610806,443564170,5.421981261783229
1859129527,1483518043,5.902266253242128
236594017,948819940,1.8859583889808667
2048014829,1613597488,8.249179417140216
1909521676,1483518043,7.015825391460337
811554319,948819940,4.208615229898575
832706340,1613597488,8.340159748477731
1803351158,1483518043,6.89258170473338
975814751,948819940,8.695920084356732
193493188,1613597488,4.6893558571546805
1394763718,438175963,3.3621302846036016
589623372,1613597488,9.403617829101812
1823043391,825112616,1.0341283426108228
1017680167,438175963,3.5650588567415475
49428882,1613597488,5.491155442573251
621141196,825112616,2.500601028356816
1154922527,438175963,4.970005916267383
288842842,1613597488,2.1411859557032535
356799214,825112616,3.6971662824702287
586051546,347522220,1.3538953386230659
367488695,1613597488,4.1481603119450225
180783785,347522220,5.591272543679727
1793231793,1613597488,4.423270565072159
367375414,347522220,4.100222209308698
972210521,1613597488,8.435667621544631
1986108684,281875912,2.7469656689816118
2016559856,1613597488,7.463654474890663
217306668,1441626385,6.747866072069497
1927458219,281875912,9.190238945031654
701509344,1613597488,5.425702949603043
506198633,1441626385,3.337090278635087
1449116960,281875912,7.807020126008499
975386461,1613597488,2.618876927686926
190818482,1441626385,1.9496131993089858
661733175,281875912,1.7372486415225121
1405396902,1096334876,3.2881651343370777
1088709463,1613597488,4.927658194820422
1720055075,281875912,5.167572568387435
386491201,1096334876,8.66961555442298
1256560097,1613597488,5.84433613406243
2086946408,281875912,6.507822303044113
289247438,1096334876,7.807627252252404
1916971938,1613597488,5.542524553832354
1197873042,1613597488,1.4302836529221428
158710412,443564170,8.635496777641643
915636645,124453581,3.8778983277241093
557806739,1613597488,3.6988192012387127
1973364658,443564170,3.909066748257582
568723453,124453581,2.5076774589466093
2146907385,1613597488,5.210054266925691
986136590,443564170,9.548602523666291
1614031487,124453581,7.840610421925454
652315975,281875912,6.645416436040678
1358438185,1613597488,4.580704449916556
1601247649,6556791,5.248662665127619
231000746,281875912,5.447391066901522
1354848045,1613597488,6.0024874568583595
1092284990,6556791,3.202115342189245
931386967,281875912,8.643799710148244
85356613,1613597488,1.4101462806034284
1877110214,6556791,4.01444573565943
201343354,865281830,2.9624539947098936
995926002,1483518043,1.7005854021415705
1293561010,948819940,8.609718228188402
1754512032,865281830,6.786132038549274
414430888,1483518043,5.451527683695814
1704516133,948819940,5.244543732230665
424976560,865281830,5.785484739996429
679217091,1483518043,3.1321758231285197
868285757,948819940,9.363302922214242
1465320666,865281830,3.0021125317694537
