 ID, Plant ID, Reporter ID, Incident Date, Severity, Type, Downtime, Resolution Steps, Status
1375640621,795267550,1153985145,2024-01-05 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1505223166,795267550,725827073,2024-01-06 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1507372249,795267550,1153985145,2024-01-09 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
210641972,487278038,430730549,2024-01-13 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1902800157,795267550,2144162112,2024-01-17 00:00:00 UTC,MINOR,SPILL,1.0023607984235685,Standard containment and cleanup procedures followed,RESOLVED
664705747,525111250,1810323897,2024-01-19 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1938803736,525111250,2011624881,2024-01-25 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
6273761,525111250,785252162,2024-01-26 00:00:00 UTC,MINOR,SPILL,2.4870674521667127,Standard containment and cleanup procedures followed,RESOLVED
308671632,487278038,430730549,2024-01-28 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1915558325,795267550,2102123297,2024-01-30 00:00:00 UTC,MINOR,SPILL,1.5662650737277861,Standard containment and cleanup procedures followed,RESOLVED
579534957,795267550,725827073,2024-02-05 00:00:00 UTC,MINOR,SPILL,2.9422791842217078,Standard containment and cleanup procedures followed,RESOLVED
787116765,795267550,2102123297,2024-02-07 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1515075946,525111250,273056157,2024-02-14 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1256977249,487278038,385607682,2024-02-15 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
326671426,795267550,1522063614,2024-02-18 00:00:00 UTC,MINOR,SPILL,3.001942615686075,Standard containment and cleanup procedures followed,RESOLVED
1736107842,487278038,536395996,2024-02-21 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
2034834994,525111250,730682174,2024-02-27 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1041183864,795267550,1790492453,2024-03-05 00:00:00 UTC,MAJOR,SPILL,22.113164608736362,Standard containment and cleanup procedures followed,RESOLVED
1880877027,795267550,1153985145,2024-03-07 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
589764349,795267550,725827073,2024-03-17 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
512087561,525111250,567093117,2024-03-18 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
896366851,525111250,1810323897,2024-03-28 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
2005612805,525111250,2040432219,2024-03-30 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
556070149,525111250,567093117,2024-04-04 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
635111731,795267550,1790492453,2024-04-05 00:00:00 UTC,MINOR,SPILL,2.385082893787084,Standard containment and cleanup procedures followed,RESOLVED
694480003,795267550,1153985145,2024-04-15 00:00:00 UTC,MINOR,SPILL,1.1371622181966115,Standard containment and cleanup procedures followed,RESOLVED
851174365,795267550,1153985145,2024-04-17 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
360491191,795267550,2102123297,2024-04-19 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
339903634,795267550,2144162112,2024-04-20 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1861138958,525111250,273056157,2024-04-22 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1754760970,795267550,2102123297,2024-04-25 00:00:00 UTC,MINOR,SPILL,2.5700367717819677,Standard containment and cleanup procedures followed,RESOLVED
1174504154,487278038,409611738,2024-04-25 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
772524920,487278038,430730549,2024-04-26 00:00:00 UTC,MINOR,SPILL,1.96198485006671,Standard containment and cleanup procedures followed,RESOLVED
1794294482,795267550,1153985145,2024-04-27 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1940357649,487278038,430730549,2024-04-30 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
396125435,487278038,409611738,2024-05-08 00:00:00 UTC,MINOR,SPILL,1.748364761663909,Standard containment and cleanup procedures followed,RESOLVED
354929165,525111250,785252162,2024-05-11 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1849186600,795267550,1790492453,2024-05-21 00:00:00 UTC,MINOR,SPILL,1.6463898631738023,Standard containment and cleanup procedures followed,RESOLVED
387514031,795267550,602063032,2024-05-22 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
959546507,525111250,631090089,2024-05-30 00:00:00 UTC,NEAR_MISS,SPILL,0.0,Standard containment and cleanup procedures followed,RESOLVED
1544295956,487278038,947847242,2024-06-06 00:00:00 UTC,MINOR,SPILL,3.5829763796672705,Standard containment and cleanup procedures followed,RESOLVED
