 Demand Plan ID, Product ID, Quantity, Target Date, Start Date
1682985103,9340309,100,2026-11-01 00:00:00 UTC,2026-11-01 00:00:00 UTC
133970301,36194335,150,2026-04-01 00:00:00 UTC,2026-04-01 00:00:00 UTC
2120044797,51962364,100,2027-01-01 00:00:00 UTC,2027-01-01 00:00:00 UTC
168657414,58349478,300,2024-08-01 00:00:00 UTC,2024-08-01 00:00:00 UTC
683693061,70128562,250,2024-06-01 00:00:00 UTC,2024-06-01 00:00:00 UTC
1222254174,87682054,250,2024-09-01 00:00:00 UTC,2024-09-01 00:00:00 UTC
2132283531,143896352,150,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
1277811011,177281658,150,2025-12-01 00:00:00 UTC,2025-12-01 00:00:00 UTC
1932659109,207242950,150,2025-09-01 00:00:00 UTC,2025-09-01 00:00:00 UTC
903899658,214742778,50,2027-06-01 00:00:00 UTC,2027-06-01 00:00:00 UTC
1294634158,230882781,50,2027-07-01 00:00:00 UTC,2027-07-01 00:00:00 UTC
497987454,232382756,400,2023-05-01 00:00:00 UTC,2023-05-01 00:00:00 UTC
1613693359,246852938,150,2026-05-01 00:00:00 UTC,2026-05-01 00:00:00 UTC
107000716,279974525,100,2026-05-01 00:00:00 UTC,2026-05-01 00:00:00 UTC
474662603,287604037,200,2024-08-01 00:00:00 UTC,2024-08-01 00:00:00 UTC
467483488,294246822,100,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
1904693276,312154052,100,2026-12-01 00:00:00 UTC,2026-12-01 00:00:00 UTC
567216288,316105936,300,2023-12-01 00:00:00 UTC,2023-12-01 00:00:00 UTC
1369577593,356414600,100,2027-02-01 00:00:00 UTC,2027-02-01 00:00:00 UTC
1029636408,361792872,400,2024-01-01 00:00:00 UTC,2024-01-01 00:00:00 UTC
1103615009,364030572,150,2026-03-01 00:00:00 UTC,2026-03-01 00:00:00 UTC
1780719871,380035154,150,2025-11-01 00:00:00 UTC,2025-11-01 00:00:00 UTC
1793804739,387753490,100,2026-12-01 00:00:00 UTC,2026-12-01 00:00:00 UTC
132419186,408597187,450,2023-04-01 00:00:00 UTC,2023-04-01 00:00:00 UTC
106948250,409055185,250,2024-07-01 00:00:00 UTC,2024-07-01 00:00:00 UTC
1310882126,445296660,50,2027-10-01 00:00:00 UTC,2027-10-01 00:00:00 UTC
1253029220,469672826,150,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
1058035125,480433046,350,2023-06-01 00:00:00 UTC,2023-06-01 00:00:00 UTC
1333358067,498956891,150,2026-05-01 00:00:00 UTC,2026-05-01 00:00:00 UTC
651342578,502007491,100,2026-02-01 00:00:00 UTC,2026-02-01 00:00:00 UTC
1594982990,507905740,100,2027-02-01 00:00:00 UTC,2027-02-01 00:00:00 UTC
548603357,509111345,100,2026-09-01 00:00:00 UTC,2026-09-01 00:00:00 UTC
1140999464,514461818,700,2022-05-01 00:00:00 UTC,2022-05-01 00:00:00 UTC
1787761716,517458155,250,2024-02-01 00:00:00 UTC,2024-02-01 00:00:00 UTC
559189758,549027897,150,2025-12-01 00:00:00 UTC,2025-12-01 00:00:00 UTC
790207848,554956838,150,2025-11-01 00:00:00 UTC,2025-11-01 00:00:00 UTC
2116290130,556015080,300,2024-02-01 00:00:00 UTC,2024-02-01 00:00:00 UTC
1912758078,562359809,400,2023-07-01 00:00:00 UTC,2023-07-01 00:00:00 UTC
1210765651,569827012,100,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
150536240,571324225,150,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
1188123450,614826590,50,2027-12-01 00:00:00 UTC,2027-12-01 00:00:00 UTC
533155019,615452616,50,2027-03-01 00:00:00 UTC,2027-03-01 00:00:00 UTC
1740555200,625464627,300,2024-05-01 00:00:00 UTC,2024-05-01 00:00:00 UTC
735764922,634208301,100,2027-06-01 00:00:00 UTC,2027-06-01 00:00:00 UTC
917245127,636192160,250,2024-07-01 00:00:00 UTC,2024-07-01 00:00:00 UTC
956917126,639894955,100,2026-08-01 00:00:00 UTC,2026-08-01 00:00:00 UTC
1274300824,664936708,450,2023-06-01 00:00:00 UTC,2023-06-01 00:00:00 UTC
721545124,688949336,100,2026-10-01 00:00:00 UTC,2026-10-01 00:00:00 UTC
