 Order ID, Product ID, Quantity, Promotion
128268465,1595905503,8,
1746428275,664936708,7,
233580046,774045160,3,
677385760,1677208163,6,
1613016918,1909940985,9,
251363998,964070615,3,
516988573,1806313054,6,
923176956,963770084,9,
788295388,9340309,5,
1353509378,932183959,9,
1932917165,87682054,4,
968037388,230882781,6,
4511111,571324225,6,
1200264142,625464627,1,
557230242,70128562,2,
669576628,1912064632,9,
1128511450,1894626563,8,
1343013017,232382756,5,
1535907631,1894626563,9,
1805863644,36194335,4,
1126298275,1595905503,6,
2013670438,1563953169,5,
1308536963,1772410983,4,
102425435,1595905503,4,
559884820,1141751565,4,
931166346,514461818,8,
2131295292,772336318,4,
1124314122,408597187,9,
2145292570,1534036446,6,
1510747889,664936708,1,
2023114435,1344416659,6,
1254663003,692419031,4,
1500073140,1141751565,1,
1966429243,964070615,1,
335724191,1472003519,5,
348520360,1785043431,1,
1621587965,1988175641,6,
1968444924,1388693051,3,
303454694,797685999,1,
1910369590,1328909245,8,
1728523927,1347719889,9,
1104865662,1080225696,5,
272379284,932183959,10,
1862637096,1345669918,10,
442002521,1143348200,10,
915196328,556015080,5,
1661324844,279974525,1,
912869987,2121024151,7,
1963393128,1398957094,10,
431802949,964070615,5,
1954858472,772336318,8,
56366341,143896352,1,
540059243,356414600,5,
747754740,1341108878,7,
1520689893,445296660,8,
1398154858,1886367459,10,
827857846,1563953169,3,
1471648965,1344416659,4,
1529849249,2002934333,8,
2082590471,1398957094,9,
1556259528,514461818,6,
564170159,876979408,3,
1464714940,962431705,2,
140950711,2041455540,9,
768619249,356414600,3,
343030861,901624480,5,
1403643000,1886367459,3,
1581027413,214742778,8,
707260935,1535372130,5,
302402677,1060800588,9,
1432785327,469672826,6,
1417252219,1894626563,7,
188989402,1228696372,6,
2055573883,177281658,1,
606482111,963770084,4,
248436320,177281658,9,
983136837,964070615,5,
468218998,826742008,1,
1554320163,287604037,10,
1881612214,1563953169,3,
1546134998,87682054,3,
365509910,943495806,5,
1225577232,1022743270,1,
203946101,1555491256,5,
405596636,1143348200,3,
1976998691,1401608557,9,
1925561644,688949336,1,
1203565563,710149981,1,
592073089,1534036446,7,
1116869653,556015080,3,
682058494,692419031,3,
1195022105,361792872,1,
1054074042,408597187,6,
1509278528,615452616,6,
1668421918,797685999,5,
1859285404,2121024151,5,
553705608,387753490,4,
2084100866,1912064632,6,
907249627,1407053904,4,
118850860,710149981,3,
1950476726,949526043,5,
1154788041,70128562,10,
1021553885,1472003519,7,
5334615,1886367459,2,
777118753,408597187,1,
2104404875,827790727,8,
1033198481,826742008,8,
1989405348,51962364,2,
2104918957,1250088053,8,
2106431550,1250088053,9,
1844169784,1502579825,6,
751360788,380035154,2,
1393456163,1031078401,10,
61871167,1877232098,8,
697886839,364030572,7,
1363486512,774045160,6,
1310237284,772336318,8,
2104837963,1250088053,2,
47460274,1022743270,3,
1598289966,87682054,10,
1010395714,1894879113,1,
1686254367,615452616,7,
2070080399,509111345,5,
1495534890,2098403168,10,
482230777,509111345,1,
1955642869,710149981,9,
287366730,1988175641,9,
1962495908,480433046,7,
1851592943,1080225696,6,
1785896634,615452616,1,
1896944735,9340309,4,
807533886,2041455540,6,
87920758,230882781,9,
1873915400,1281138545,9,
1434677748,1575706803,5,
108989118,2017648365,1,
12566400,51962364,5,
1485888603,507905740,9,
290916858,562359809,2,
1186392106,1563953169,1,
264642217,1401608557,9,
672775596,294246822,3,
436549189,1330068067,6,
2134942668,827790727,3,
1163828606,770679086,5,
1032231734,980766119,10,
1442918254,312154052,7,
1452505115,826742008,9,
1989083574,361792872,6,
1964540135,556015080,2,
850931162,549027897,9,
1059328043,1782761655,3,
1722943604,797685999,9,
839713099,1894879113,5,
1547532790,1031078401,2,
1439246237,1719322950,4,
199518135,1719322950,7,
776322441,1764476118,7,
1658119008,1228696372,10,
1383196647,688949336,6,
2001093387,1719322950,6,
1903010001,1401608557,9,
612179422,2114476460,6,
1130179173,1993953324,5,
638683194,1563253337,3,
1552684548,772336318,6,
754690119,2111222872,9,
90174264,2041455540,10,
1240688336,214742778,1,
1992927038,1899314059,10,
293627945,507905740,5,
1711952474,36194335,6,
978408439,1141751565,9,
386665272,469672826,3,
138546244,58349478,5,
1632885262,556015080,9,
390492535,1877232098,1,
1534542414,70128562,6,
1734354681,556015080,8,
830233474,9340309,7,
544677293,1589216577,3,
217288011,2137841554,9,
186936328,1245315471,9,
821702155,1228696372,10,
75541670,1899314059,5,
1954185813,1702212573,6,
1042556102,1507808434,3,
1925458609,356414600,6,
115736113,361792872,5,
1566561822,58349478,6,
648937149,2100402592,4,
2046597802,58349478,8,
288072920,1857521685,7,
1830235425,380035154,8,
242697467,2114476460,7,
1854625968,980766119,1,
172000099,87682054,3,
2038603353,36194335,3,
714202104,380035154,6,
1290662115,1899314059,9,
2130370664,1575706803,3,
1153389194,1912064632,2,
738042934,364030572,5,
1330929872,361792872,4,
531104304,1589216577,2,
493144434,1899314059,8,
70806515,1281138545,2,
38232198,1899314059,8,
525534231,1344416659,3,
1081532656,214742778,9,
1004560201,1330068067,6,
799533663,1143348200,9,
175072696,409055185,2,
72887094,36194335,4,
85111859,1899314059,7,
1818860606,1507808434,4,
2133169291,1458184559,9,
1843082075,827790727,6,
1219216957,692419031,1,
459741691,932183959,7,
1112815874,1575706803,7,
1449983242,922640075,5,
913678268,2121024151,9,
1877706768,1899314059,9,
891359313,1677208163,9,
364661163,1555491256,7,
2009146344,207242950,1,
866611419,1502579825,8,
1277576478,1344416659,3,
955974525,1785043431,3,
62681546,2114476460,7,
1857864828,480433046,6,
1485053723,1345669918,6,
2122648116,58349478,1,
622228310,980766119,9,
1770766256,232382756,2,
80931437,230882781,3,
935416353,1022743270,9,
490095855,2121024151,4,
1756279881,387753490,6,
829646030,779465155,3,
1464771557,1677208163,3,
1354687774,1620558601,6,
63198618,1589216577,7,
580574054,1894879113,4,
2071841968,2121024151,8,
790782125,2111222872,7,
1882975191,1401608557,4,
717889072,408597187,4,
84476708,1909940985,7,
753983600,1021893466,1,
1049210147,1563953169,9,
1744377852,625464627,3,
68640918,965823772,6,
1329256860,214742778,6,
1003902505,1894626563,3,
400190197,797685999,4,
1526257594,1988175641,10,
1528562142,287604037,8,
1328577458,2100402592,7,
14819451,556015080,9,
157702268,1535372130,10,
1709677355,770679086,5,
1354206695,692419031,8,
403329732,2137841554,5,
547908676,230882781,2,
2102906514,562359809,4,
1881717352,177281658,9,
55643184,1228696372,5,
1873895039,469672826,8,
1354589522,1772410983,2,
586618459,1281138545,1,
1721008661,962431705,5,
155419163,962431705,9,
1698313854,1163371281,4,
1705717767,380035154,10,
298838474,232382756,2,
569788472,1341108878,8,
985370494,1563253337,5,
714536953,1988175641,3,
1136264730,719807222,9,
755791136,901624480,4,
757931203,569827012,5,
83648642,710149981,1,
576313235,177281658,2,
207643723,774045160,7,
372858605,409055185,5,
757276003,1764476118,9,
1752048036,58349478,9,
1059709173,1060800588,8,
694441153,1894879113,7,
1238640951,1344416659,10,
1337049353,1362545079,3,
1706537111,1163371281,8,
974127946,51962364,3,
1134048936,901624480,1,
1261481975,409055185,7,
329369547,1897107811,4,
2058010894,1857521685,8,
1940658216,469672826,9,
1922001696,1702212573,7,
801376403,1595905503,7,
1408158771,614826590,1,
2029043367,1555491256,6,
2002506705,556015080,5,
1057027740,953470587,1,
1390329071,571324225,10,
1761918359,980766119,1,
919975420,316105936,10,
1676313794,361792872,5,
906113032,772336318,4,
1020829358,953470587,5,
205065729,445296660,6,
1876139841,498956891,3,
1961993763,625464627,2,
268078112,1563953169,2,
587096720,2121024151,9,
2081577892,1782761655,10,
2074857306,779465155,6,
1468733403,2100402592,5,
762071900,1341108878,10,
143828975,1143348200,3,
2055197934,1912064632,10,
1173013699,1228615147,8,
1174717258,509111345,2,
1181630588,517458155,8,
449201393,1472003519,10,
339079200,1589216577,6,
2046780506,664936708,9,
305050824,1534036446,6,
1506580309,1575706803,2,
281349076,940749676,9,
989583475,639894955,8,
839643140,1250088053,4,
2005867268,1988175641,10,
1277584207,1341108878,1,
1320944780,639894955,4,
2104996286,772336318,1,
448144710,502007491,9,
447282892,625464627,6,
2029170908,1555491256,9,
1964050521,1143348200,8,
717684200,827790727,5,
1723287503,1912064632,3,
1198999610,1764476118,4,
349014898,232382756,10,
845482089,51962364,8,
1000683134,1458184559,6,
2010658162,1677208163,1,
1979832211,827790727,2,
1284894450,294246822,1,
19112602,1022743270,6,
864592249,1785043431,4,
128064893,710149981,1,
390931575,1520399800,10,
1993480872,980766119,1,
1375969992,1005267733,4,
1617763349,980766119,5,
980885485,797685999,6,
511093402,562359809,7,
1946398787,940749676,8,
1547633131,509111345,6,
617096682,963770084,2,
789819269,356414600,5,
401583679,70128562,6,
252988731,2002934333,4,
1578009060,517458155,10,
1634242361,1022743270,9,
1069855697,664936708,6,
1049386012,509111345,10,
262805351,1886367459,5,
26485732,1620558601,2,
827988079,2114476460,10,
139551052,1228696372,2,
951355324,1502579825,10,
336075087,1897107811,1,
1227381204,901624480,2,
1893233565,571324225,9,
424758220,1988175641,7,
1358808176,664936708,3,
2119297984,2137841554,7,
553754143,2041455540,10,
1392167135,2111222872,10,
966605296,1141751565,1,
1739807870,1886367459,9,
1273791536,1909940985,2,
284211445,409055185,5,
804195497,230882781,4,
389751795,827790727,7,
120285231,1031078401,8,
1387715974,409055185,10,
292410195,1719322950,6,
1876202919,1563253337,4,
1111581741,962431705,4,
1660596827,963770084,2,
423676165,1330068067,2,
404144935,554956838,10,
209317237,9340309,9,
1894722432,1764476118,10,
232873451,1555491256,1,
1834792461,1719322950,1,
2110412646,922640075,8,
1652752205,143896352,4,
2095270365,1250088053,7,
1117549752,1535372130,2,
1571152251,636192160,4,
230651225,664936708,9,
1103301453,1228615147,5,
259068021,1031078401,7,
1035187891,714142149,10,
834396791,2041455540,9,
946708360,826742008,10,
1053686026,1362545079,6,
616061847,692419031,4,
1054632446,1719322950,8,
531271701,1344416659,8,
1195389661,1330068067,1,
1054441462,1398957094,8,
330186585,1362545079,10,
1864104427,772336318,1,
1485227720,963770084,9,
216843977,1458184559,2,
1110891892,507905740,2,
137054146,1555491256,8,
701106235,664936708,3,
349936039,177281658,5,
589814432,562359809,6,
1322787317,1228615147,9,
856724451,943495806,7,
1119882925,1328909245,6,
736695311,287604037,8,
218290267,949526043,1,
1730614575,1520399800,8,
970119656,51962364,7,
520019437,58349478,10,
746950082,469672826,1,
44982281,826742008,3,
796845174,517458155,5,
2137749742,1677208163,8,
457350420,2066254789,6,
332019709,517458155,3,
823930003,1245315471,7,
635636149,562359809,3,
1199825195,2041455540,10,
1655834745,1909940985,5,
1693883749,778862611,8,
764958718,58349478,5,
1233457463,692419031,1,
292209625,1719322950,7,
1112176437,480433046,1,
839601157,719807222,9,
556456463,710149981,6,
556230509,2121024151,8,
1848380487,507905740,8,
1142002862,2041455540,3,
523794115,688949336,5,
1898964112,1228696372,10,
1734807013,230882781,2,
1544943275,380035154,2,
1241554060,380035154,1,
1744619068,409055185,6,
788281409,387753490,7,
736632660,1472003519,1,
601510238,1141751565,2,
962928313,2121024151,2,
1354208753,1021893466,3,
2105372115,1877232098,5,
402760541,770679086,10,
1167645905,279974525,6,
54059249,1589216577,3,
584220970,1575706803,6,
431739717,1250088053,7,
191409516,719807222,7,
443013532,664936708,5,
768094949,827790727,8,
1363838482,797685999,3,
361536126,1022743270,4,
200581751,312154052,6,
738156644,1899314059,5,
82581286,1472003519,8,
1895161147,1281138545,9,
561658559,963770084,5,
1638384718,694127367,5,
198194616,287604037,6,
1505791035,1228696372,1,
114091585,177281658,6,
94222517,1719322950,10,
1791248175,207242950,2,
1540261449,1886367459,9,
185442675,1857521685,4,
1207825860,963770084,4,
1220812098,1894879113,5,
1264658170,1458184559,10,
238267316,639894955,2,
1968373490,2098403168,10,
1693529785,772336318,1,
206244848,1575706803,9,
1539357585,1899314059,9,
1853387651,965823772,8,
1417035956,1328909245,10,
1841403249,797685999,8,
765881064,408597187,3,
