 ID, Asset Type, Asset ID, Employee ID, Purchase Order ID, Type, Status, Cost, Started At, Completed At
1747245023,RollingStock,1453388167,1816148921,559126413,Routine,Completed,49166.2811773101,2025-01-05 15:52:13.677704 UTC,2025-01-23 14:32:04.677711 UTC
1507404476,RollingStock,1453388167,943289491,1233382250,Routine,In Progress,49767.53414438269,2025-01-12 20:18:32.677926 UTC,
1069944344,RollingStock,1453388167,289350603,867953636,Routine,Completed,4734.926941353729,2024-12-28 10:22:56.678087 UTC,2025-01-20 02:35:39.678097 UTC
1522841663,RollingStock,1453388167,1050508733,1700162388,Repair,Scheduled,4806.756814210053,2025-01-01 05:52:46.678252 UTC,
1810148897,RollingStock,1453388167,742365891,1901117773,Routine,Completed,39177.629647471666,2024-12-30 10:49:12.678413 UTC,2025-01-19 01:21:27.67842 UTC
1170401215,RollingStock,1291405995,122346013,77912486,Routine,Completed,5940.047211461908,2025-01-08 20:51:47.678578 UTC,2025-01-19 13:20:18.678585 UTC
1388040197,RollingStock,1291405995,517880878,264043427,Routine,In Progress,23637.174242757188,2025-01-03 21:46:58.678745 UTC,
1944901408,RollingStock,1212683159,895334175,307031092,Repair,In Progress,43754.02484072719,2025-01-08 04:22:10.678906 UTC,
1987486152,RollingStock,1212683159,840859815,1096492087,Repair,In Progress,49348.99329119037,2025-01-04 19:37:11.679078 UTC,
278664644,RollingStock,1212683159,1050508733,167778567,Overhaul,In Progress,44908.85424169749,2025-01-08 21:21:10.679256 UTC,
211140224,RollingStock,1212683159,1439420165,1507607695,Routine,Completed,30571.495476880038,2025-01-08 05:51:39.679429 UTC,2025-01-19 08:16:46.679436 UTC
1757972339,RollingStock,951811568,1398229709,1352254896,Repair,Scheduled,8245.335070805071,2024-12-28 12:57:33.679594 UTC,
2088970305,RollingStock,951811568,1224300936,1993610314,Overhaul,In Progress,42238.474199312186,2025-01-01 09:33:55.679775 UTC,
2042546263,RollingStock,951811568,1398229709,807020154,Routine,Scheduled,28611.122815964856,2025-01-24 14:25:28.679958 UTC,
2023436105,RollingStock,951811568,895334175,676857344,Routine,Completed,34096.67294603499,2025-01-01 08:04:21.680118 UTC,2025-01-24 01:59:05.680125 UTC
145316120,RollingStock,951811568,519770588,60350704,Routine,Completed,27112.631932901928,2025-01-02 15:35:58.680299 UTC,2025-01-18 10:11:51.680305 UTC
2094176201,RollingStock,2050671769,519770588,979595765,Repair,Completed,38568.66060019375,2025-01-08 04:59:52.680472 UTC,2025-01-23 23:34:27.680479 UTC
1799594964,RollingStock,2050671769,1398229709,1507607695,Routine,In Progress,17351.48393466459,2025-01-13 08:01:05.680641 UTC,
1580558814,RollingStock,2050671769,1439420165,1507607695,Routine,In Progress,25995.985423329053,2025-01-12 02:51:53.680811 UTC,
1080887099,RollingStock,177199962,1224300936,2099955003,Routine,In Progress,4360.099433183031,2025-01-19 01:47:00.68098 UTC,
430052922,RollingStock,177199962,1180861141,1148527325,Routine,Completed,46330.98231402955,2025-01-14 23:46:29.681166 UTC,2025-01-22 03:05:28.681173 UTC
1796084808,RollingStock,177199962,1816148921,781279378,Routine,In Progress,38987.44828748362,2024-12-26 04:14:07.681343 UTC,
1576938831,RollingStock,177199962,1997519883,1038264622,Routine,Completed,3237.589822763521,2025-01-04 18:24:32.681494 UTC,2025-01-20 10:19:32.681501 UTC
882556475,RollingStock,1829674713,1224300936,1088420209,Routine,In Progress,36630.30995126847,2025-01-06 11:40:39.681661 UTC,
14350768,RollingStock,1829674713,1224300936,859235362,Routine,In Progress,23150.059065461846,2025-01-08 06:21:35.681835 UTC,
436999351,RollingStock,1829674713,943289491,2080821165,Routine,Completed,24242.856539868706,2025-01-05 11:57:25.682013 UTC,2025-01-22 16:31:06.682019 UTC
708153030,RollingStock,1829674713,951775129,137659156,Routine,Completed,35620.09250076003,2025-01-24 04:27:21.682167 UTC,2025-01-18 20:00:51.682173 UTC
1248506253,RollingStock,1986196634,1507141089,638123753,Routine,Scheduled,22001.51728583907,2025-01-06 02:47:46.682334 UTC,
1195021521,RollingStock,1986196634,1398229709,1993610314,Routine,Scheduled,47633.021804356045,2025-01-22 07:43:25.682524 UTC,
1716967319,RollingStock,1986196634,1398229709,859235362,Routine,In Progress,43436.65976488171,2025-01-12 19:10:01.682797 UTC,
1172100700,RollingStock,1986196634,519770588,60350704,Routine,Completed,34408.28881080569,2025-01-12 13:36:54.6831 UTC,2025-01-21 23:59:06.683114 UTC
1469498911,RollingStock,1986196634,519770588,1257606053,Routine,Scheduled,6274.132535612549,2025-01-23 10:08:06.683339 UTC,
1493182694,RollingStock,1066244332,1826904509,812686863,Repair,Scheduled,24794.62980550341,2025-01-06 08:29:22.683551 UTC,
1366590808,RollingStock,1066244332,122346013,661429842,Overhaul,Scheduled,14588.701503334225,2025-01-07 10:38:39.683808 UTC,
2106051805,RollingStock,1066244332,289350603,77912486,Routine,In Progress,5595.934292792099,2025-01-11 05:32:01.684035 UTC,
1812578221,RollingStock,1515573021,1816148921,1331705627,Routine,In Progress,41837.47775895882,2025-01-08 15:59:56.684285 UTC,
393843256,RollingStock,1515573021,1826904509,1331705627,Overhaul,Completed,36550.41682230339,2024-12-29 21:50:27.684545 UTC,2025-01-24 05:16:23.684559 UTC
1573919304,RollingStock,1181795696,122346013,264043427,Overhaul,Completed,3810.032879927962,2025-01-19 12:56:52.684832 UTC,2025-01-21 13:13:17.684839 UTC
2127955270,RollingStock,1181795696,951775129,2083782179,Routine,Completed,37940.33610272731,2025-01-14 03:35:54.68507 UTC,2025-01-18 23:58:58.685077 UTC
1549313691,RollingStock,1181795696,1826904509,760939936,Overhaul,Completed,34307.81563973194,2025-01-05 19:05:27.685337 UTC,2025-01-23 14:00:35.685349 UTC
345507344,RollingStock,1181795696,122346013,392045862,Repair,Completed,11914.086927624146,2024-12-28 01:42:25.685602 UTC,2025-01-22 08:28:32.685611 UTC
1746613473,RollingStock,1181795696,289350603,846536133,Repair,Completed,46870.4310214457,2025-01-05 23:30:05.685823 UTC,2025-01-24 21:45:24.685837 UTC
1809171352,RollingStock,2033286939,1816148921,1901117773,Overhaul,Scheduled,4300.109888078459,2025-01-06 13:17:54.686058 UTC,
1084470059,RollingStock,2033286939,1997519883,676857344,Routine,Completed,42340.12393574598,2025-01-17 04:17:49.686297 UTC,2025-01-23 15:57:45.686305 UTC
2077667397,RollingStock,2033286939,1157138452,2028514110,Routine,Scheduled,42312.90221868832,2024-12-30 23:52:06.686552 UTC,
842496387,RollingStock,2033286939,1157138452,60350704,Repair,Scheduled,23685.63789087365,2025-01-15 13:22:17.68678 UTC,
558777690,RollingStock,1825875162,289350603,1499316515,Repair,Completed,22239.97487022285,2025-01-01 13:41:09.687012 UTC,2025-01-22 00:47:25.687019 UTC
516713053,RollingStock,1825875162,742365891,1108156332,Repair,In Progress,42375.46716625001,2025-01-16 01:00:24.68726 UTC,
1317605159,RollingStock,1825875162,1837155942,800212437,Routine,Scheduled,7996.178329291143,2025-01-24 18:39:06.687471 UTC,
