 ID, Location ID, Employee ID, Tech Solution ID, Client Industry ID, Invoice ID, Contract Value, Start Date, Status
185141098,474844078,1525353545,1538861305,146937995,272990878,200406.98161878544,2024-01-01 00:00:00 UTC,COMPLETED
1066686905,450533921,1525353545,1746883953,2088575382,1927297373,325327.6370530359,2024-01-01 00:00:00 UTC,COMPLETED
108667105,1180757146,1568642684,1299659792,2088575382,1575519987,443952.614821962,2024-01-01 00:00:00 UTC,COMPLETED
1524543011,450533921,1568642684,1538861305,295113464,,180626.71486181402,2024-01-02 00:00:00 UTC,ACTIVE
940723064,1180757146,740253008,1220156713,2088575382,,467224.0029336198,2024-01-02 00:00:00 UTC,ACTIVE
1811872210,1695387093,1323906607,1746883953,146937995,,346149.6293062346,2024-01-02 00:00:00 UTC,ACTIVE
1280629127,1695387093,1568642684,1746883953,295113464,,306130.16824818467,2024-01-03 00:00:00 UTC,ACTIVE
1077029504,450533921,740253008,1299659792,1282681828,,469349.22599932336,2024-01-03 00:00:00 UTC,ACTIVE
1467163640,450533921,1568642684,1220156713,295113464,,451578.0380873453,2024-01-03 00:00:00 UTC,ACTIVE
528401325,450533921,1525353545,1220156713,146937995,,417116.85520897596,2024-01-04 00:00:00 UTC,ACTIVE
1593371803,1695387093,1568642684,1538861305,146937995,,164910.84849002952,2024-01-04 00:00:00 UTC,ACTIVE
309764900,1695387093,740253008,1538861305,146937995,,194459.71789177213,2024-01-04 00:00:00 UTC,ACTIVE
1945097759,1695387093,1568642684,1220156713,146937995,,422698.2239756351,2024-01-04 00:00:00 UTC,ACTIVE
1482125094,474844078,1323906607,1220156713,2088575382,,392391.5462141385,2024-01-05 00:00:00 UTC,ACTIVE
1656451613,450533921,1568642684,1538861305,2088575382,,200210.19574313913,2024-01-05 00:00:00 UTC,ACTIVE
657069239,450533921,740253008,1289459799,1282681828,,460708.8305121138,2024-01-05 00:00:00 UTC,ACTIVE
1499420120,1695387093,1323906607,1299659792,2088575382,,585104.6568391802,2024-01-06 00:00:00 UTC,ACTIVE
979056078,450533921,740253008,1299659792,1282681828,,418189.0473807063,2024-01-06 00:00:00 UTC,ACTIVE
1207234734,474844078,1568642684,1220156713,295113464,,419765.10282494564,2024-01-06 00:00:00 UTC,ACTIVE
2059919440,1695387093,740253008,1538861305,295113464,,230174.8648237297,2024-01-07 00:00:00 UTC,ACTIVE
612497909,1180757146,1568642684,1746883953,146937995,,356163.79208595917,2024-01-07 00:00:00 UTC,ACTIVE
143987869,1180757146,1525353545,1538861305,295113464,,204806.90793451876,2024-01-07 00:00:00 UTC,ACTIVE
201994031,474844078,1525353545,1746883953,1282681828,1206521278,313838.3050615344,2024-01-08 00:00:00 UTC,COMPLETED
545350136,1180757146,740253008,1538861305,295113464,2104742310,172756.22211143814,2024-01-08 00:00:00 UTC,COMPLETED
1798298549,1695387093,1525353545,1299659792,1282681828,1080924451,422013.28485045774,2024-01-08 00:00:00 UTC,COMPLETED
1101411790,1180757146,1568642684,1220156713,146937995,,329879.550733872,2024-01-09 00:00:00 UTC,ACTIVE
1363099694,1180757146,1323906607,1220156713,146937995,,419867.22005254094,2024-01-09 00:00:00 UTC,ACTIVE
465485847,474844078,1323906607,1538861305,2088575382,,192866.06862843988,2024-01-09 00:00:00 UTC,ACTIVE
762086461,474844078,740253008,1220156713,295113464,,406435.5582795975,2024-01-10 00:00:00 UTC,ACTIVE
261360273,1180757146,740253008,1299659792,1282681828,,566557.0828665696,2024-01-10 00:00:00 UTC,ACTIVE
2120984749,1180757146,1525353545,1289459799,295113464,,494435.2628769837,2024-01-10 00:00:00 UTC,ACTIVE
532742695,1180757146,740253008,1220156713,146937995,,472888.5908639359,2024-01-10 00:00:00 UTC,ACTIVE
1490307811,1695387093,1568642684,1289459799,295113464,,605095.5251724995,2024-01-11 00:00:00 UTC,ACTIVE
1017888169,450533921,1568642684,1220156713,1282681828,,462722.183405209,2024-01-11 00:00:00 UTC,ACTIVE
1302087375,450533921,740253008,1299659792,146937995,,481214.68132753426,2024-01-12 00:00:00 UTC,ACTIVE
1042492182,1695387093,740253008,1220156713,1282681828,,429101.9424357111,2024-01-12 00:00:00 UTC,ACTIVE
893634706,474844078,1323906607,1746883953,295113464,,319135.10961628886,2024-01-12 00:00:00 UTC,ACTIVE
505726300,450533921,740253008,1289459799,2088575382,,535970.1975256322,2024-01-13 00:00:00 UTC,ACTIVE
1003841318,1180757146,1323906607,1746883953,2088575382,,349303.3838593507,2024-01-13 00:00:00 UTC,ACTIVE
1836846366,474844078,1568642684,1746883953,2088575382,,313704.7630017342,2024-01-14 00:00:00 UTC,ACTIVE
902525795,450533921,1568642684,1538861305,295113464,,165899.652342564,2024-01-14 00:00:00 UTC,ACTIVE
1074231680,1695387093,740253008,1538861305,295113464,,214378.50587940606,2024-01-14 00:00:00 UTC,ACTIVE
1697470589,450533921,1323906607,1289459799,146937995,111785071,485119.3652256913,2024-01-15 00:00:00 UTC,COMPLETED
1567191375,1180757146,1525353545,1538861305,2088575382,2126572821,220177.26095493734,2024-01-15 00:00:00 UTC,COMPLETED
307068463,474844078,1525353545,1746883953,295113464,,320381.1193442148,2024-01-16 00:00:00 UTC,ACTIVE
1264544972,450533921,1323906607,1538861305,2088575382,,238237.44645981176,2024-01-16 00:00:00 UTC,ACTIVE
1085736356,450533921,1525353545,1538861305,1282681828,,209721.07001044395,2024-01-16 00:00:00 UTC,ACTIVE
1113839941,1180757146,1323906607,1289459799,1282681828,,584780.2070438996,2024-01-16 00:00:00 UTC,ACTIVE
843862221,1695387093,740253008,1538861305,295113464,,176417.2036938482,2024-01-17 00:00:00 UTC,ACTIVE
1628887784,474844078,740253008,1289459799,295113464,,619085.2216488648,2024-01-17 00:00:00 UTC,ACTIVE
