 ID, Name, Address, City, State, Country, Postal Code, Longitude, Latitude
1144840752,HQ,789 Pine Rd,Los Angeles,NY,USA,60601,34.0522,-87.6298
1137426217,HQ,789 Pine Rd,New York,CA,USA,60601,34.0522,-87.6298
1408913944,Branch Office,123 Main St,Chicago,IL,USA,60601,40.7128,-87.6298
1886397906,Branch Office,123 Main St,New York,CA,USA,60601,40.7128,-118.2437
2029903910,Warehouse,456 Oak Ave,Chicago,NY,USA,60601,34.0522,-118.2437
458772028,Gulf Coast Chemical Facility,1250 Industrial Parkway,Freeport,LA,USA,,,
2103319139,Delaware Valley Chemical Facility,2100 Process Drive,Freeport,DE,USA,,,
506490516,Louisiana Chemical Facility,750 Chemistry Lane,Freeport,LA,USA,,,
1964562859,Property-1,123 Main St,Los Angeles,CA,USA,12345,34.0522,-118.2437
814108742,Property-2,123 Main St,Miami,FL,USA,12345,25.7617,-80.1918
1782648377,Property-3,123 Main St,Miami,FL,USA,12345,25.7617,-80.1918
1042418848,Property-4,123 Main St,Miami,FL,USA,12345,25.7617,-80.1918
703262002,Property-5,123 Main St,Miami,FL,USA,12345,25.7617,-80.1918
1342437977,Property-6,123 Main St,Chicago,IL,USA,12345,41.8781,-87.6298
372292590,Property-7,123 Main St,Seattle,WA,USA,12345,47.6062,-122.3321
639426634,Property-8,123 Main St,Miami,FL,USA,12345,25.7617,-80.1918
699058213,Property-9,123 Main St,New York,NY,USA,12345,40.7128,-74.006
1710316816,Property-10,123 Main St,New York,NY,USA,12345,40.7128,-74.006
1039203145,Property-11,123 Main St,Seattle,WA,USA,12345,47.6062,-122.3321
1847096056,Property-12,123 Main St,Denver,CO,USA,12345,39.7392,-104.9903
1509871057,Property-13,123 Main St,Los Angeles,CA,USA,12345,34.0522,-118.2437
1490665721,Property-14,123 Main St,Denver,CO,USA,12345,39.7392,-104.9903
1916183546,Property-15,123 Main St,Seattle,WA,USA,12345,47.6062,-122.3321
936895419,Property-16,123 Main St,Seattle,WA,USA,12345,47.6062,-122.3321
1662699701,Property-17,123 Main St,Los Angeles,CA,USA,12345,34.0522,-118.2437
1829978793,Property-18,123 Main St,Chicago,IL,USA,12345,41.8781,-87.6298
1582307446,Property-19,123 Main St,New York,NY,USA,12345,40.7128,-74.006
757915678,Property-20,123 Main St,New York,NY,USA,12345,40.7128,-74.006
1057000339,Property-21,123 Main St,Miami,FL,USA,12345,25.7617,-80.1918
51250308,Property-22,123 Main St,Chicago,IL,USA,12345,41.8781,-87.6298
1961512060,Property-23,123 Main St,Houston,TX,USA,12345,29.7604,-95.3698
1180907717,Property-24,123 Main St,Chicago,IL,USA,12345,41.8781,-87.6298
91389547,Property-25,123 Main St,Chicago,IL,USA,12345,41.8781,-87.6298
385454577,Property-26,123 Main St,Miami,FL,USA,12345,25.7617,-80.1918
1709915691,Property-27,123 Main St,Chicago,IL,USA,12345,41.8781,-87.6298
118288990,Property-28,123 Main St,Los Angeles,CA,USA,12345,34.0522,-118.2437
