 ID, Property ID, Tenant ID, Start Date, End Date, Monthly Rent, Type, Status
745835621,615452332,318957509,2024-01-01 00:00:00 UTC,2025-07-24 00:00:00 UTC,85771.98668226415,Modified Gross,Active
575940995,1959898617,678917706,2024-01-01 00:00:00 UTC,2026-03-21 00:00:00 UTC,22622.902598611177,Full Service,Active
2103982423,37834688,1385866711,2024-01-01 00:00:00 UTC,2028-02-09 00:00:00 UTC,72222.56634703671,Full Service,Active
1374082040,1971107506,701922064,2024-01-01 00:00:00 UTC,2025-09-22 00:00:00 UTC,95186.49699171957,Modified Gross,Active
1337213050,1810721202,1999231533,2024-01-01 00:00:00 UTC,2027-07-14 00:00:00 UTC,47019.60170491728,NNN,Active
1605777945,1266772891,1504634602,2024-01-01 00:00:00 UTC,2026-04-20 00:00:00 UTC,28147.243412694523,NNN,Active
953921669,1838349159,570559362,2024-01-01 00:00:00 UTC,2025-08-23 00:00:00 UTC,15809.818199845713,Full Service,Active
1642912267,2109411173,1747388616,2024-01-01 00:00:00 UTC,2027-08-13 00:00:00 UTC,76714.85093283623,NNN,Active
849873675,1607305882,1141385735,2024-01-01 00:00:00 UTC,2027-01-15 00:00:00 UTC,63850.05636050149,NNN,Active
1770473964,521929384,1800788848,2024-01-01 00:00:00 UTC,2027-04-15 00:00:00 UTC,86392.25818179603,Full Service,Active
575591661,1927196692,386632326,2024-01-01 00:00:00 UTC,2026-06-19 00:00:00 UTC,43948.11955364435,NNN,Active
2082674107,1924416294,1989785262,2024-01-01 00:00:00 UTC,2026-10-17 00:00:00 UTC,49016.52765950716,Modified Gross,Active
648161042,1182914442,23252670,2024-01-01 00:00:00 UTC,2025-01-25 00:00:00 UTC,18497.328044228954,NNN,Active
268666297,335299672,1810369504,2024-01-01 00:00:00 UTC,2026-03-21 00:00:00 UTC,36438.25152900506,NNN,Active
357477341,496934808,1291338227,2024-01-02 00:00:00 UTC,2027-12-12 00:00:00 UTC,23108.161548318465,NNN,Active
1360184651,608434868,319185370,2024-01-02 00:00:00 UTC,2026-04-21 00:00:00 UTC,43797.62263835841,NNN,Active
1808231929,112887504,789053154,2024-01-02 00:00:00 UTC,2026-01-21 00:00:00 UTC,20593.212836303872,NNN,Active
1725807127,779232560,1027955017,2024-01-02 00:00:00 UTC,2028-10-07 00:00:00 UTC,90523.90403544377,NNN,Active
439412989,879154230,1479937570,2024-01-02 00:00:00 UTC,2026-11-17 00:00:00 UTC,38843.542648931834,NNN,Active
131195526,1266772891,1504634602,2024-01-02 00:00:00 UTC,2028-05-10 00:00:00 UTC,46598.99696648944,NNN,Active
780515813,463030369,1057197976,2024-01-02 00:00:00 UTC,2027-08-14 00:00:00 UTC,38032.445252050515,NNN,Active
1022551025,820399212,427559699,2024-01-02 00:00:00 UTC,2027-06-15 00:00:00 UTC,51976.921240168405,Full Service,Active
391838371,1714793362,2014998820,2024-01-02 00:00:00 UTC,2028-03-11 00:00:00 UTC,64355.90646507713,Full Service,Active
