 Transformer ID, Grid Asset ID
872026537,202551552
1472028450,767166500
1390680702,802734357
220375320,1892139911
176563005,1332280402
1555562460,2088209476
322265628,1699981603
8459406,1466319933
1737952378,148806197
1930738567,1145180614
401574082,933350843
1297769779,398995286
1845113622,867997513
141953263,1053506344
1979383997,1674818243
1773582640,2016745029
365952456,242513414
2131214,269540721
2308343,92700164
551385890,1371740491
611184914,194924676
173318547,337118512
816559082,776425182
1585157974,1581385059
1127676349,2133798882
353367771,2001067414
1398180976,712164890
2100795333,262758532
772947164,1725191442
1667935182,316553031
5955054,1198116015
742779557,1560382652
1894821143,708673906
663560329,1662867882
813458553,42805701
1206813503,969557680
1648357199,1381228066
1424539032,2077447140
681918929,762267843
2101630150,648611134
1370413858,191085798
97075564,1734771260
489592562,919304075
2125060765,1433806105
831097321,1184082325
1727083939,558432651
2003116363,864362624
1795767445,1469853313
411705498,819574396
22392429,505178565
607376775,827774912
1778401719,933174471
200156704,1712638585
897095804,509873158
1747638323,1625944917
623986943,512250627
970163820,802307626
1396655536,970983888
782515495,1611308251
1433826198,554410439
1487119366,1073654851
300994336,338894256
1622327263,334079007
1470007190,1863695125
874703377,961403576
1698760257,1353187387
1498607176,675148233
2092773152,938461466
544703922,1496244007
2068116603,1067445168
1214152690,836751020
335792484,151308472
1021044552,1269382035
1028508166,1918972677
1197507948,2034451054
363258949,614633311
922607028,1664255168
173819782,1303600843
342385239,525475944
1093477716,567659246
327356934,1541916638
967772780,573106416
1744704066,1016686292
1468623511,2033569249
2035776818,1636760739
1280936110,1929420826
1476541209,1261286522
1353093059,1608187270
375611692,1062742923
1230807469,1952124482
1510920383,2051037567
956286513,6685241
1108202868,1923979150
169825265,466882261
345126106,1652574080
1901335576,1741933600
2114848920,2050760332
1276885285,235521188
1763010442,528748957
1843223500,1680073879
133920758,980281333
1349184966,2042619925
1540511963,600548615
217388693,1407009663
267804383,133385223
591674496,1850630812
1589256507,531427830
60294794,69247287
1669400507,502563562
192503211,1228034865
751853466,121499427
902415329,359622380
1545150562,878384811
2087619620,1048143901
215806611,1821078483
1614156722,1107546876
1401485949,874771567
1215416716,237344995
1752004329,1323183394
1254306276,936646439
1560668370,462392933
310522037,128757429
1891368671,1684274064
394991815,1912233727
1830321648,72975605
2106028774,538075146
216728594,859693285
666589914,2052993656
313844791,293315252
635885615,1647805132
85182086,512264267
765530697,1739247946
392422562,722642048
260805552,1862788514
